,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.0833595,0.08334469,0.08336189,0.08331125,0.08332872,0.08327894,0.083259806,0.08324104,0.08325839,0.08334491,0.0834532,0.083457716
AMI,0.0073354966,0.0073397164,0.007326091,0.007334859,0.0073290346,0.0073217587,0.23530822,0.2353255,0.23541729,0.23530683,0.0073277415,0.0073272497
IMI,0.0060374783,0.0060327654,0.31539544,0.31503826,0.31525257,0.0060455212,0.0060290727,0.006026963,0.0060296697,0.006035122,0.0060385987,0.0060388003
Lateral-involved MI,0.14668906,0.14668725,0.061576456,0.06158336,0.0615882,1.0037891e-07,0.06167289,0.061664112,0.061634883,0.043600842,0.1466677,0.14663528
