strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_Lateral-involved MI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_Lateral-involved MI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_Lateral-involved MI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_Lateral-involved MI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_Lateral-involved MI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_Lateral-involved MI
no_pretrain,1,0.9969788519637462,0.9937888198757764,0.993388429752066,0.9916123019571296,0.992063492063492,0.9938650306748468,0.9866666666666668,0.9737827715355806,0.920754716981132,0.7379679144385026,0.7565011820330969,0.5611510791366906,0.8652482269503546,0.711340206185567,0.8695652173913043,0.4588235294117647,0.994535519125683,0.948780487804878,0.7554179566563467,0.9644549763033176,0.9930046893772042,0.9077948202162434,0.9236943060977252,0.9584889880122666
no_pretrain,2,0.9678068410462776,0.9690402476780186,0.9654605263157896,0.9662288930581614,0.9919354838709676,1.0,0.9869281045751634,0.9848484848484848,0.8365019011406845,0.776595744680851,0.6651480637813212,0.1774193548387097,0.7801418439716312,0.7525773195876289,0.7934782608695652,0.1294117647058823,0.9672131147540984,0.9560975609756096,0.6625386996904025,0.933649289099526,0.979304732007906,0.9767161176766408,0.8807544757033248,0.8347644270978534
no_pretrain,3,0.9949748743718592,0.9938080495356038,0.9942291838417148,0.99250936329588,0.9959514170040484,1.0,0.990228013029316,0.9924812030075189,0.8825622775800712,0.7790697674418605,0.6515837104072398,0.0,0.8794326241134752,0.6907216494845361,0.782608695652174,0.0,0.9562841530054644,0.9804878048780488,0.6470588235294118,0.919431279620853,0.9837422005193196,0.9670103092783504,0.846395881006865,0.7974909395037636
no_pretrain,4,0.9899396378269618,0.9907407407407408,0.9917491749174916,0.9887640449438202,1.0,0.9813664596273292,0.993421052631579,0.9887640449438202,0.9010989010989012,0.8022598870056498,0.7055961070559611,0.6013071895424836,0.8723404255319149,0.7319587628865979,0.7880434782608695,0.5411764705882353,0.9754098360655736,0.9780487804878047,0.7461300309597523,0.9478672985781992,0.9764174708367244,0.964546140306764,0.8596042536007539,0.9456649010315028
no_pretrain,5,0.9909182643794148,0.9938271604938272,0.9950657894736842,0.9915651358950328,0.9836065573770492,0.9876543209876544,0.9681528662420382,0.9692307692307692,0.9485294117647058,0.8333333333333334,0.762589928057554,0.5655172413793104,0.9148936170212766,0.7731958762886598,0.8641304347826086,0.4823529411764706,0.994535519125683,0.9804878048780488,0.7708978328173375,0.9549763033175356,0.9903305817153044,0.9583605732964546,0.9048828913716516,0.9557568999163648
frozen_backbone,1,0.8828125,0.831858407079646,0.8237232289950577,0.7808764940239044,0.9152542372881356,0.8314606741573034,0.8160919540229885,0.7,0.8296296296296296,0.8352941176470589,0.7981220657276995,0.6216216216216216,0.7943262411347518,0.7319587628865979,0.9239130434782608,0.5411764705882353,0.953551912568306,0.9951219512195122,0.7770897832817337,0.9597156398104264,0.9771150641398286,0.9926326376665828,0.9430441512989636,0.9511848341232229
frozen_backbone,2,0.8754789272030651,0.8075801749271136,0.798999165971643,0.7371601208459214,0.8095238095238095,0.7731958762886598,0.7169811320754716,0.6146341463414634,0.6714285714285714,0.8439306358381503,0.7433628318584071,0.1651376146788991,0.6666666666666666,0.7525773195876289,0.9130434782608696,0.1058823529411764,0.8770491803278688,0.9926829268292684,0.6904024767801857,0.9644549763033176,0.9362864783164748,0.9957002765903948,0.9239466953829588,0.8514914970727627
frozen_backbone,3,0.8821811100292113,0.8231797919762258,0.79766860949209,0.7600391772771793,0.9045643153526972,0.8461538461538461,0.8115942028985508,0.7075471698113207,0.6996699669966997,0.8092485549132948,0.7397260273972602,0.04,0.75177304964539,0.7216494845360825,0.8804347826086957,0.0235294117647058,0.8469945355191257,0.9853658536585366,0.7151702786377709,0.9691943127962084,0.9264426617060032,0.9782499371385466,0.9010970520931484,0.7913855589629215
frozen_backbone,4,0.8825831702544031,0.8315946348733234,0.8138957816377171,0.7725490196078432,0.8898678414096917,0.7956989247311828,0.7897727272727273,0.7348837209302326,0.8058608058608059,0.8421052631578947,0.7663551401869159,0.5915492957746479,0.7801418439716312,0.7422680412371134,0.8913043478260869,0.4941176470588235,0.9398907103825136,0.9951219512195122,0.7523219814241486,0.9644549763033176,0.9727744835871798,0.9914005531807896,0.927698882756764,0.9536102592695844
frozen_backbone,5,0.860236220472441,0.8184523809523809,0.8107229894394801,0.7597208374875374,0.8558558558558559,0.7623762376237624,0.7540983606557377,0.5894736842105263,0.6575342465753424,0.8323699421965318,0.72,0.0202020202020202,0.6808510638297872,0.7422680412371134,0.8804347826086957,0.0117647058823529,0.8497267759562842,0.9902439024390244,0.6780185758513931,0.9691943127962084,0.9211719567492151,0.994141312547146,0.9080125185085476,0.8436018957345971
