model_name,test_accuracy,test_balanced_accuracy,test_macro_f1,test_micro_f1,test_weighted_f1,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,test_f1_Lateral-involved MI,test_sensitivity_Lateral-involved MI,test_specificity_Lateral-involved MI,test_auc_Lateral-involved MI,test_macro_auc,output_dir,checkpoint_path
cnn1d,0.8824378752184816,0.7085908675195176,0.7356309266972947,0.8824378752184816,0.8788359429985457,0.9428952174127634,0.9586511441188278,0.7668231611893583,0.9546440896146315,0.5941422594142259,0.5130057803468208,0.9881286596615064,0.9434385390146749,0.628709872804361,0.6203187250996016,0.9627856182795699,0.942828517917577,0.7767763571578286,0.7423878205128205,0.9822852825119638,0.9730833711404455,0.9534986294218322,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/8_pretrain_model_comparison/20260615_040102/cnn1d,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/8_pretrain_model_comparison/20260615_040102/cnn1d/checkpoints/best_macro_f1.pt
gru,0.8788661752412797,0.696666647614283,0.7280243104237294,0.8788661752412797,0.8737659042536582,0.941649307682882,0.9640706543556804,0.7394366197183099,0.9580811736021194,0.6257378984651711,0.5744219653179191,0.9854816716130584,0.9631082705742003,0.5832974601808006,0.5398406374501992,0.9671959005376344,0.92202854408977,0.7614125753660638,0.7083333333333334,0.9840483586600621,0.9705973432901929,0.9534538328890706,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/8_pretrain_model_comparison/20260615_040102/gru,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/8_pretrain_model_comparison/20260615_040102/gru/checkpoints/best_macro_f1.pt
lstm,0.8757504369632951,0.6955977117992311,0.7197642222324138,0.8757504369632951,0.871229777404302,0.9403246065561658,0.9579486150140506,0.7519561815336463,0.9497112688621132,0.5908733280881195,0.5426300578034682,0.9836769070345712,0.9442105482172356,0.58656330749354,0.5426294820717131,0.9675739247311828,0.9279295285256822,0.76129564679183,0.7391826923076923,0.978759130215767,0.9638535921600159,0.9464262344412617,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/8_pretrain_model_comparison/20260615_040102/lstm,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/8_pretrain_model_comparison/20260615_040102/lstm/checkpoints/best_macro_f1.pt
cnn_lstm,0.8687970210502318,0.6973267122427991,0.7155289103064801,0.8687970210502318,0.8667982132315059,0.9349886796208295,0.9428944199116821,0.769170579029734,0.93770918420555,0.5742237345810294,0.4877167630057804,0.9882890831795941,0.9173093266802393,0.5977760736196319,0.6211155378486056,0.9518229166666666,0.9087812727584287,0.7551271534044298,0.7375801282051282,0.9773738560994039,0.9626695971887654,0.9316173452082459,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/8_pretrain_model_comparison/20260615_040102/cnn_lstm,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/8_pretrain_model_comparison/20260615_040102/cnn_lstm/checkpoints/best_macro_f1.pt
