,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.5021404,0.4848636,0.5328426,0.4730077,0.4769388,0.53454167,0.48611715,0.5170484,0.48254374,0.51011825,0.5166894,0.5104451
AMI,0.47024214,0.475286,0.49424216,0.49456584,0.49845502,0.4733022,0.49865156,0.47339326,0.48805606,0.47602415,0.5095089,0.5284267
IMI,0.5291285,0.52591956,0.47020385,0.49537927,0.49217406,0.48417014,0.46910086,0.49521106,0.52226037,0.48813966,0.4973748,0.4964695
Lateral-involved MI,0.49107006,0.481434,0.47444806,0.52544194,0.52247804,0.4692688,0.52998704,0.50432575,0.49966288,0.5173002,0.4713975,0.46761718
