variant,epoch,train_loss,val_loss,train_loss_cls,val_loss_cls,train_loss_sens,val_loss_sens,train_loss_cons,val_loss_cons,train_loss_sparse,val_loss_sparse,train_loss_div,val_loss_div,train_macro_f1,val_macro_f1,learning_rate,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
clicnet_counterfactual,1,1.3684056984053719,0.8568578850567359,1.3000899744033814,0.8143605239048659,0.5059638877709707,0.2291101431731611,0.054410000609027016,0.09177828067135427,0.49988269938362967,0.4997456967830658,0.9999994373321534,0.9999977946281433,0.3930243647113532,0.5563050993155227,0.0001,0.46081992734820965,0.9077914938277775,0.2878980891719745,0.26102292768959434,0.35365853658536583,0.42634817227651106,0.4697209057398631,0.630057803468208
clicnet_counterfactual,2,1.1364894443088107,0.766480504769172,1.0617963459756639,0.7250487703803968,0.5135600516531202,0.18348354820430332,0.16681797140174442,0.16176570875417928,0.49962685267130535,0.4995197653770447,0.9999924919340346,0.9999845027923584,0.5518452457723778,0.594410727969367,0.0001,0.6167315175097277,0.8789409325322983,0.43149807938540335,0.3880597014925373,0.5338882282996433,0.45400753093060786,0.6252631578947369,0.6566347469220246
clicnet_counterfactual,3,1.0419726514816283,0.7127491120816146,0.9610279273986816,0.6690408548606779,0.5345803883340624,0.20542672005278548,0.24985237028863694,0.16345353762779652,0.4994329759809706,0.4993332326412201,0.9999733837445577,0.9999591708183289,0.6083381816643543,0.6067953806846526,0.0001,0.6257861635220126,0.8706034901939597,0.5322195704057279,0.41628365068942874,0.5988764044943821,0.4576185671039354,0.6764705882352942,0.6826758147512865
clicnet_counterfactual,4,0.9867562203937107,0.7104063475794866,0.9030791301197476,0.6590774497953964,0.5399729098214043,0.20796658557369077,0.29375728845596316,0.3108286273059277,0.4992485929860009,0.49915486574172974,0.999943659040663,0.9999260902404785,0.6345186537362422,0.6085485788395101,0.0001,0.6305908337934842,0.8478802992518704,0.5883021010789324,0.4388124547429399,0.6461372231226364,0.4350940017905103,0.6730444569499155,0.7124075595727198
clicnet_counterfactual,5,0.9437796489397685,0.7129174742210386,0.8576522681448194,0.6713804793970015,0.5506670143869188,0.15079117648499338,0.32142115831375123,0.22939048504637427,0.49905550201733906,0.4989495277404785,0.9999073807398479,0.999885082244873,0.6548790513986137,0.594440041763406,0.0001,0.6596916299559471,0.8313143892222348,0.6214953271028038,0.42358328563251285,0.6466165413533834,0.43636363636363634,0.6917127071823205,0.6864988558352403
clicnet_counterfactual,6,0.9137946391105651,0.684578817381898,0.8262922069761488,0.633760168663965,0.5531865008672079,0.13413317043439518,0.34393384178479514,0.4483920393635603,0.49884727676709495,0.49873489141464233,0.9998623450597127,0.999836802482605,0.6723983596127494,0.614331505966998,0.0001,0.6666666666666666,0.8427086260185446,0.6510067114093959,0.4402116402116402,0.6629895201323773,0.45851629304367925,0.7089305402425579,0.7158894645941278
clicnet_counterfactual,7,0.8880926659372118,0.5625702672202476,0.7994845830069648,0.5157050913099603,0.551762392255995,0.1366857492156379,0.3689467406272888,0.36426880258406885,0.49863927867677477,0.49853214621543884,0.9998113473256429,0.9997824430465698,0.6802871217363514,0.653972749711706,0.0001,0.6737907761529809,0.9034547542010228,0.6533180778032036,0.4641865630205441,0.6875664187035069,0.5225403093122738,0.7064732142857143,0.7257093723129837
clicnet_counterfactual,8,0.8623995227283902,0.7041826806000322,0.7731501591205597,0.6603192402323268,0.5543566131591797,0.1213997790334671,0.37663722025023566,0.33486123273471174,0.49843039406670464,0.498321533203125,0.9997542254130045,0.9997217655181885,0.6897055869797689,0.6069125801890061,0.0001,0.6864035087719298,0.822128932083501,0.6784335355763927,0.375487070492384,0.6742081447963801,0.4912551440329218,0.7197771587743732,0.7387791741472173
clicnet_counterfactual,9,0.8323729056782193,0.6060664896199277,0.7420872826046414,0.5458497497148697,0.5505912832419078,0.11278595373830247,0.40494519657558864,0.679205802147311,0.49823422047826976,0.4981323182582855,0.9996890068054199,0.9996531009674072,0.7059584388181039,0.6493005137977993,0.0001,0.6861732644865175,0.8761109906785173,0.6922234392113911,0.47015319598520866,0.7175572519083969,0.5008328706274292,0.7278797996661102,0.750104997900042
clicnet_counterfactual,10,0.810298834906684,0.6230218774350137,0.7188069205813937,0.5689040359592988,0.554967093732622,0.108201319698739,0.42037461439768475,0.566452516724512,0.49803332063886857,0.4979378879070282,0.9996139778031243,0.9995721578598022,0.7152111322457889,0.6350580846119024,0.0001,0.7005649717514124,0.8591456010597196,0.7029428095502499,0.4051123160340821,0.7204359673024523,0.5269497139415839,0.7369007803790413,0.7490247074122237
clicnet_counterfactual,11,0.7914067880312602,0.5962077151656839,0.6992686706119113,0.5434024093706026,0.5584580135345459,0.10610383602121827,0.4263678126864963,0.5444462856816071,0.4978590428829193,0.49777084589004517,0.9995330264833239,0.9994896650314331,0.7274680864733347,0.6525095802803964,0.0001,0.7078464106844741,0.8731473408892764,0.7252378287632905,0.47704485488126647,0.7219458264234384,0.504969110932044,0.7548422800221362,0.7548770144189991
clicnet_counterfactual,12,0.7826388867696127,0.6255280212296863,0.6890377357270983,0.5738249416048495,0.5607464207543267,0.10735546663065054,0.4511017051008013,0.5199466983857615,0.49769540786743166,0.49761927127838135,0.9994469277064005,0.9994000196456909,0.7297552188188959,0.6402434726135483,0.0001,0.7066741446999439,0.8541886708544111,0.7224043715846995,0.4538534728829686,0.7371333702268954,0.4959183673469388,0.7528089887640449,0.7570133793698748
clicnet_counterfactual,13,0.7667087750964695,0.6539849599093805,0.6741335595978631,0.5952496203706823,0.5527375594774881,0.10559351438519482,0.4466488798459371,0.6641650843841259,0.4975473721822103,0.4974716603755951,0.9993541298972236,0.9993014335632324,0.7430795837295755,0.632899893713937,5e-05,0.7225305216426193,0.8499300307864539,0.7425414364640884,0.4444444444444444,0.7447045707915273,0.49456240290005177,0.7625418060200669,0.742662696724798
clicnet_counterfactual,14,0.7508193005455864,0.5607232616614948,0.655561748875512,0.5056023991368745,0.5663529091411167,0.11492757064530038,0.4731031958262126,0.5732328596900423,0.4974364729722341,0.49739909172058105,0.9992741539743212,0.9992461204528809,0.7474223659987663,0.666148387309664,5e-05,0.7288231949971575,0.8842545435050662,0.7497231450719822,0.4973293768545994,0.7438825448613376,0.5218346608074704,0.767260579064588,0.7611749680715197
