split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.7750865051903114,0.9032258064516129,0.855191256830601,0.9413449673893883,124
val,AMI,Anterior,0.7386363636363636,0.8024691358024691,0.9266503667481663,0.9495608077515169,81
val,IMI,Inferior,0.6624203821656051,0.6887417218543046,0.8259587020648967,0.8360194573052805,151
val,Lateral-involved MI,Lateral,0.48756218905472637,0.3656716417910448,0.949438202247191,0.8105609592487002,134
test,NORM,Normal,0.7131367292225201,0.9432624113475178,0.7295081967213115,0.9449676394217728,141
test,AMI,Anterior,0.60431654676259,0.4329896907216495,1.0,0.9584862962031683,97
test,IMI,Inferior,0.6958904109589041,0.6902173913043478,0.8328173374613003,0.8557006326558083,184
test,Lateral-involved MI,Lateral,0.0,0.0,0.8767772511848341,0.3851965430722052,85
