,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.48628494,0.47747117,0.53378785,0.47501466,0.4984254,0.534817,0.49712166,0.48608992,0.46965754,0.47929624,0.53385925,0.53454673
AMI,0.4707526,0.476306,0.48244917,0.52244896,0.49921635,0.4717728,0.5207059,0.47292525,0.51739573,0.5190394,0.49396375,0.46920896
IMI,0.52703905,0.52796274,0.47062048,0.5108157,0.48963696,0.49035782,0.47046167,0.52503574,0.5215334,0.4832132,0.4710457,0.5074136
Lateral-involved MI,0.5075067,0.5005328,0.47085893,0.52598304,0.5206772,0.4696794,0.52024144,0.5002133,0.5241488,0.51636064,0.4732755,0.47405493
