split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9960159362549801,1.0,0.9972677595628415,0.99975956284153,125
val,AMI,Anterior,1.0,1.0,1.0,1.0,81
val,IMI,Inferior,0.9933774834437086,0.9933774834437086,0.9970588235294118,0.9976042072458122,151
val,Lateral-involved MI,Lateral,0.9887640449438202,0.9850746268656716,0.9971988795518207,0.9936452192817425,134
test,NORM,Normal,0.9407665505226481,0.9574468085106383,0.9699453551912568,0.9867457272410184,141
test,AMI,Anterior,0.8470588235294118,0.7422680412371134,0.9975609756097561,0.9606738747799848,97
test,IMI,Inferior,0.9272237196765498,0.9347826086956522,0.9535603715170279,0.967071611253197,184
test,Lateral-involved MI,Lateral,0.9139784946236559,1.0,0.9620853080568721,0.9714524672428213,85
