,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.083315596,0.08341281,0.08320994,0.08343137,0.08331458,0.08339968,0.08346092,0.0833863,0.083337,0.08327909,0.0832326,0.08322003
AMI,0.007327185,0.007323624,0.007334281,0.0073270183,0.0073310602,0.0073342077,0.23534574,0.23544763,0.23535997,0.23521233,0.0073291576,0.007328015
IMI,0.0060381885,0.006034243,0.31537023,0.3150652,0.31524828,0.006036563,0.006029814,0.006028555,0.0060308008,0.00603599,0.006040787,0.006041487
Lateral-involved MI,0.14673446,0.14664713,0.06159138,0.061503023,0.061552886,9.9998935e-08,0.06153851,0.06156405,0.06156555,0.043610252,0.14686365,0.1468292
