epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,learning_rate
1,1.8708795772194027,1.6459326268030474,0.5073805452840956,0.5580095068330363,0.0001
2,1.0790466518812283,0.971402465676268,0.6293903363730395,0.7006570475090623,0.0001
3,0.7087366062661876,0.7820374477081574,0.7230551424600328,0.7455201577838562,0.0001
4,0.5175054531445176,0.7043684829886143,0.8003177139960549,0.757521993512913,0.0001
5,0.41652312416403914,0.6034101647062179,0.8503465688849865,0.8141373486138742,0.0001
6,0.342866029191541,0.545422572738085,0.8866954646927204,0.7935099559997016,0.0001
7,0.2942373217294683,0.593340396307982,0.9055502551566612,0.7785972234312373,0.0001
8,0.25255509869636583,0.5043665075149292,0.9340066925478512,0.8143030824791722,0.0001
9,0.21949153717793612,0.5165562236156219,0.9441636881045625,0.8207790274668,0.0001
10,0.20031518843364582,0.49786756970943546,0.9486564613496358,0.8169561329052101,0.0001
11,0.1776554380805206,0.5163337601683079,0.9622652301406346,0.8264636196188501,0.0001
12,0.15822892805692915,0.5044553249310224,0.9634931100081037,0.8117819544856775,0.0001
13,0.13611398602462696,0.5318723939932309,0.9789655897342023,0.8063622018223405,0.0001
14,0.12082474427267233,0.4939660682128026,0.9822147135167125,0.8249257791022084,0.0001
15,0.11069342593630657,0.46754276485015184,0.9840213866389989,0.8063101707849095,0.0001
16,0.10718294921017184,0.5393698815351877,0.9830125900913885,0.7906380770027106,0.0001
17,0.09007169905041579,0.5484912084081234,0.9886968586588107,0.8050472595242655,5e-05
18,0.08177515477387913,0.5156297798340137,0.9925729838001106,0.8129062297540406,5e-05
19,0.07989500748631886,0.5327942612079474,0.9908813846425343,0.7986305779865231,5e-05
20,0.07575936094030926,0.5404453052160068,0.9932995286377626,0.8219169208318204,5e-05
21,0.0692682782411854,0.5746883226510806,0.9946601455895967,0.8048926730006258,5e-05
22,0.06407045789477478,0.48015428621035355,0.9952740671143625,0.812207260530729,5e-05
23,0.06746793870281649,0.5286214645856466,0.9942829240289773,0.8140845036644795,2.5e-05
24,0.0605769455049739,0.5243603638731517,0.997003716595336,0.8220825554171094,2.5e-05
25,0.05939108711528466,0.518015810312369,0.9961539802493844,0.8063389131924201,2.5e-05
26,0.057601266058598125,0.515090613028942,0.9966302523899883,0.8114661038554689,2.5e-05
27,0.05776434768271703,0.5404631185990113,0.9974704989127494,0.8114661038554689,2.5e-05
28,0.05679584452869347,0.5207712749640147,0.9977354848302217,0.8155174193305712,2.5e-05
29,0.05439515806849508,0.5304673508955882,0.9971397629628382,0.8097770088156758,1.25e-05
30,0.05182758903861492,0.5263613699338375,0.997744720351556,0.8001601875467819,1.25e-05
31,0.053811229532040296,0.5390990712703803,0.9974848888879124,0.8114661038554689,1.25e-05
32,0.049540141511180795,0.5144917766253153,0.9991891898972275,0.8035439280393408,1.25e-05
33,0.05558338120419492,0.5205488673005348,0.9955416217448002,0.8149199138277474,1.25e-05
34,0.053843504033003975,0.4973625655357654,0.9972749271782674,0.8098233838359568,1.25e-05
35,0.05238685891025253,0.5274400802759024,0.9963790745205994,0.8114661038554689,6.25e-06
36,0.047996214177771224,0.5224063984858685,0.9995946350372851,0.8151998077356919,6.25e-06
37,0.049668814838907886,0.49286078069454586,0.9975442127158458,0.8114661038554689,6.25e-06
38,0.044601689055805846,0.533807272139268,0.9990003871710701,0.8149199138277474,6.25e-06
39,0.04871568561310855,0.5147781897431765,0.998608990349796,0.823703045286982,6.25e-06
40,0.04490376277093076,0.5283146489125031,0.9995945543208785,0.8119067848418855,6.25e-06
41,0.04540214340135894,0.5329856148514992,0.998608990349796,0.819748618680372,3.125e-06
42,0.047058447028582986,0.5356969233506765,0.9975838134450835,0.802476915533731,3.125e-06
43,0.04351686527268973,0.5378556988942318,1.0,0.8114661038554689,3.125e-06
44,0.04674804840165497,0.5287226488192877,0.9985949417123346,0.8176694269564755,3.125e-06
45,0.04694259243870573,0.503299671678971,0.9972873345912434,0.8175237823303501,3.125e-06
46,0.04707637284335939,0.5291171268774912,0.9985449261195315,0.7958283721322166,3.125e-06
47,0.04635612907122373,0.5288423664676838,0.997624066176281,0.814238718360212,1.5625e-06
48,0.04399592736618382,0.5337926221963687,0.9978934409177451,0.8204075423031798,1.5625e-06
49,0.04154877754754695,0.5172057545337921,1.0,0.816999374979392,1.5625e-06
50,0.04311075552517758,0.5336654619910778,0.9995798951311909,0.8204075423031798,1.5625e-06
