,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08335477,0.08334788,0.08335201,0.08331624,0.08332482,0.08328497,0.08327166,0.08324722,0.08326008,0.08334144,0.08344705,0.08345194
AMI,0.007335457,0.0073388745,0.007327147,0.007334263,0.0073293936,0.007322771,0.23529793,0.23531878,0.23541433,0.23532458,0.0073287436,0.007327917
IMI,0.006037199,0.006031612,0.3154413,0.31498384,0.3152568,0.0060466644,0.0060295835,0.006027609,0.0060303467,0.0060362006,0.006039845,0.006039391
Lateral-involved MI,0.1466803,0.14667577,0.06157773,0.061579786,0.061587848,1.00388355e-07,0.061678044,0.061671473,0.06164045,0.043603305,0.14667189,0.14663342
