split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.8095238095238095,0.6854838709677419,0.9972677595628415,0.9825268817204301,124
val,AMI,Anterior,0.7731958762886598,0.9259259259259259,0.9070904645476773,0.9754897521808688,81
val,IMI,Inferior,0.7169811320754716,0.8807947019867549,0.7433628318584071,0.8932778526636582,151
val,Lateral-involved MI,Lateral,0.6146341463414634,0.4701492537313433,0.9775280898876404,0.9069679691430488,134
test,NORM,Normal,0.6714285714285714,0.6666666666666666,0.8770491803278688,0.9362864783164748,141
test,AMI,Anterior,0.8439306358381503,0.7525773195876289,0.9926829268292683,0.9957002765903947,97
test,IMI,Inferior,0.7433628318584071,0.9130434782608695,0.6904024767801857,0.9239466953829587,184
test,Lateral-involved MI,Lateral,0.1651376146788991,0.10588235294117647,0.9644549763033176,0.8514914970727627,85
