class,internal_label,expected_clinical_leads,top3_learned_mask_leads,top5_learned_mask_leads,overlap_at_3,overlap_at_5,mean_expected_mask_weight,mean_non_expected_mask_weight
NORM,Normal,"I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6","V5,V6,V2","V5,V6,V2,aVR,V4",1.0,1.0,0.49881651997566223,
AMI,Anterior,"V1,V2,V3,V4","aVF,V4,V2","aVF,V4,V2,V3,V5",0.6666666666666666,0.75,0.49940431118011475,0.4913484752178192
IMI,Inferior,"II,III,aVF","aVL,V1,V4","aVL,V1,V4,V3,I",0.0,0.0,0.4941194951534271,0.5000447034835815
Lateral-involved MI,Lateral,"I,aVL,V5,V6","V6,III,V2","V6,III,V2,I,aVL",0.3333333333333333,0.75,0.5010219812393188,0.4985472857952118
