,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.5035937,0.4918234,0.5113257,0.49638548,0.51936495,0.5182831,0.49967727,0.4794071,0.49810842,0.49570316,0.5344243,0.5338078
AMI,0.48905462,0.4847764,0.48848835,0.49250448,0.48737904,0.49221605,0.5062939,0.4921635,0.5041453,0.5060968,0.48486978,0.47644824
IMI,0.49160916,0.5169028,0.47983763,0.510193,0.4822985,0.4775409,0.4779016,0.52021515,0.49265712,0.5068087,0.4741761,0.49034014
Lateral-involved MI,0.49436134,0.49379575,0.48683557,0.51422065,0.5123737,0.48497686,0.5033224,0.50845253,0.508017,0.4953034,0.4779861,0.48122063
