split,label,internal_label,f1_score
val,NORM,Normal,0.9959514170040485
val,AMI,Anterior,0.9815950920245399
val,IMI,Inferior,0.9710610932475884
val,Lateral-involved MI,Lateral,0.9575289575289575
test,NORM,Normal,0.8759124087591241
test,AMI,Anterior,0.7361963190184049
test,IMI,Inferior,0.6740088105726872
test,Lateral-involved MI,Lateral,0.0
