,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.083305486,0.083321206,0.08333247,0.083364345,0.08333586,0.08336476,0.08333871,0.08325375,0.083218046,0.083287254,0.08343167,0.08344662
AMI,0.007331576,0.0073372414,0.0073238327,0.007334386,0.007326879,0.007320915,0.2353989,0.23535001,0.23537606,0.23524892,0.0073263533,0.007325443
IMI,0.0060343,0.0060282457,0.31538332,0.31501374,0.31528753,0.0060534,0.006033902,0.0060294787,0.0060304417,0.006033878,0.0060361447,0.006035889
Lateral-involved MI,0.14670368,0.14667222,0.06158499,0.061576948,0.06158719,1.0040221e-07,0.061687574,0.06166918,0.061631374,0.04359514,0.14665866,0.14663266
