strategy,fold,epoch,train_loss,val_loss,train_main_macro_f1,val_main_macro_f1,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,learning_rate,epoch_time,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
frozen_backbone,3,1,1.1942796595907528,1.0866796384052355,0.4336746396799439,0.568795052536568,0.4941356450790413,0.5795918367346938,0.4797267594571824,0.618136608975496,0.0001,0.679023027420044,0.6535211267605634,0.6994219653179191,0.2669902912621359,0.7292817679558011,0.29683698296836986,0.4645669291338583,0.5173501577287066,0.38190954773869346
frozen_backbone,3,2,1.0229756971332018,0.9674654909542628,0.5934551693743186,0.5933063469641614,0.6022437531871494,0.6142857142857143,0.6305797322856449,0.6529103210602336,0.0001,0.6872591972351074,0.7447633824670287,0.7414330218068536,0.6657458563535912,0.7128712871287128,0.4714747039827772,0.5672727272727273,0.49183673469387756,0.3516483516483517
frozen_backbone,3,3,0.9346171603830173,0.9009685234147675,0.6142867485386422,0.6317867119966266,0.6185619581845997,0.6489795918367347,0.6435089130363336,0.6845646555000887,0.0001,0.6721847057342529,0.7626016260162601,0.7712418300653595,0.6798307475317349,0.74,0.5102459016393442,0.6180555555555556,0.5044687189672294,0.3978494623655914
frozen_backbone,3,4,0.873350714403169,0.8600366293167582,0.6524677855017316,0.6259261405298788,0.6547679755226925,0.6489795918367347,0.6792825498013622,0.6847193098598688,0.0001,0.6611957550048828,0.782312925170068,0.7840531561461794,0.7038043478260869,0.7425742574257426,0.577560975609756,0.6287625418060201,0.5461928934010152,0.34831460674157305
frozen_backbone,3,5,0.8337893310339702,0.8241977421604857,0.6444390434403588,0.6326947237442521,0.6466088730239674,0.6530612244897959,0.6683681468754264,0.6862276056052504,0.0001,0.6740283966064453,0.7903780068728522,0.7785234899328859,0.6926286509040334,0.7474747474747475,0.5749525616698292,0.6360655737704918,0.5197969543147208,0.3687150837988827
frozen_backbone,3,6,0.8046053255899168,0.801291890533603,0.6626997058941544,0.6412923113576222,0.6624171341152473,0.6632653061224489,0.6794523750372762,0.6927447862554797,0.0001,0.6650433540344238,0.7774846086191732,0.7915194346289752,0.7058823529411765,0.7474747474747475,0.6099547511312218,0.6625386996904025,0.5574771108850458,0.36363636363636365
frozen_backbone,3,7,0.7823411536605792,0.780411240032741,0.6616131045083616,0.6557121002196775,0.6593574706782254,0.673469387755102,0.6788629227877812,0.7018469040620328,0.0001,0.6719818115234375,0.7861579414374446,0.7941176470588235,0.7202295552367288,0.7537688442211056,0.5996309963099631,0.6727272727272727,0.5404339250493096,0.4022346368715084
frozen_backbone,3,8,0.7649887920580976,0.7657429057724622,0.6702404141958035,0.6725460311242187,0.6695563488016318,0.6918367346938775,0.687279483241632,0.7201970833438918,0.0001,0.6859934329986572,0.7827648114901257,0.7984790874524715,0.7165021156558533,0.7647058823529411,0.6293333333333333,0.7041420118343196,0.5523613963039015,0.4228571428571429
frozen_backbone,3,9,0.7510974694732985,0.7500704728827184,0.6785074796795587,0.6781210359408034,0.6766955634880163,0.6959183673469388,0.6926981320314565,0.7205965081215315,0.0001,0.6683089733123779,0.782608695652174,0.8,0.7230989956958394,0.76,0.6322241681260946,0.7093023255813954,0.5760980592441267,0.4431818181818182
frozen_backbone,3,10,0.7348232743449505,0.7402332690297341,0.6900096273299219,0.6775519603370868,0.6894441611422744,0.6938775510204082,0.702749763690803,0.7188013138889593,0.0001,0.6631112098693848,0.7933579335793358,0.8110236220472441,0.7181688125894135,0.7487684729064039,0.6597938144329897,0.7034883720930233,0.5887179487179487,0.44692737430167595
frozen_backbone,3,11,0.7169980523478067,0.7267993211746215,0.6909650827470278,0.6952605428082548,0.6894441611422744,0.7122448979591837,0.7043585765149536,0.7375281909636875,0.0001,0.6640698909759521,0.7934782608695652,0.8203125,0.7312138728323699,0.7722772277227723,0.649737302977233,0.7225433526011561,0.5894308943089431,0.4659090909090909
frozen_backbone,3,12,0.7012165463256447,0.7134475617992635,0.7085900880552737,0.7128100325627149,0.7078021417644059,0.7285714285714285,0.7193167565236166,0.7525335440792641,0.0001,0.6728982925415039,0.7996340347666971,0.8326848249027238,0.7379209370424598,0.7647058823529411,0.6820512820512821,0.7455621301775148,0.6147540983606558,0.5082872928176796
frozen_backbone,3,13,0.6928513143392073,0.7020639239525308,0.7003865385023674,0.7135500975603665,0.7011728709841918,0.726530612244898,0.7118774403658851,0.7502165002660721,0.0001,0.6769261360168457,0.8048327137546468,0.8221343873517787,0.7116212338593975,0.7684729064039408,0.6768447837150128,0.7390029325513197,0.6082474226804123,0.5245901639344263
frozen_backbone,3,14,0.6866408046078524,0.6904770573791192,0.6975219028979743,0.7144948337103622,0.6955634880163182,0.7244897959183674,0.7085043107435108,0.7490136330233383,0.0001,0.6684143543243408,0.7977736549165121,0.8221343873517787,0.7314949201741655,0.7761194029850746,0.6581632653061225,0.727810650887574,0.6026557711950971,0.5319148936170213
frozen_backbone,3,15,0.672967135267924,0.682148192123491,0.7084314560236513,0.7135482891791808,0.706272310045895,0.726530612244898,0.7201862869477226,0.7494032384765477,0.0001,0.6757092475891113,0.8063610851262862,0.8340080971659919,0.7449856733524355,0.7761194029850746,0.66890756302521,0.7329545454545454,0.6134715025906736,0.5111111111111111
frozen_backbone,3,16,0.6612473201350495,0.6688723520356782,0.7198669097736845,0.7192059734443451,0.720550739418664,0.7306122448979592,0.7312295698311118,0.7522466455920735,0.0001,0.6702020168304443,0.8275862068965517,0.8286852589641435,0.7359307359307359,0.7777777777777778,0.7015177065767285,0.7377521613832853,0.6144329896907217,0.532608695652174
frozen_backbone,3,17,0.6428031351176042,0.6571001150170152,0.7365822434329962,0.7352740993040668,0.7358490566037735,0.7408163265306122,0.7470018339284349,0.7611236316296278,0.0001,0.6764271259307861,0.8182665424044734,0.8278688524590164,0.7561327561327561,0.7857142857142857,0.7100591715976331,0.7398843930635838,0.6618705035971223,0.5876288659793815
frozen_backbone,3,18,0.6350532167727457,0.6482592264000251,0.7263625304466906,0.7361868053653402,0.7276899541050484,0.7448979591836735,0.7335475275203187,0.7652358696753921,0.0001,0.6637868881225586,0.8205128205128205,0.8467741935483871,0.7296898079763663,0.7817258883248731,0.7176566314076485,0.7478260869565218,0.6375908618899273,0.5684210526315789
frozen_backbone,3,19,0.6366431539852604,0.6438166207196762,0.7347870013783877,0.7461616976019874,0.7338092809790923,0.753061224489796,0.745789970095159,0.7719557718622507,0.0001,0.6762559413909912,0.8170055452865065,0.8547717842323651,0.7550432276657061,0.7777777777777778,0.6990622335890878,0.7572254335260116,0.6680369989722508,0.5948717948717949
frozen_backbone,3,20,0.6165122616540285,0.6390234313449081,0.7442403484289789,0.7427640836766138,0.7455379908210097,0.746938775510204,0.7541135947670382,0.7657569273750094,0.0001,0.6690292358398438,0.8356807511737089,0.8389830508474576,0.7445887445887446,0.7857142857142857,0.7300252312867956,0.7443181818181818,0.6666666666666666,0.6020408163265306
frozen_backbone,3,21,0.6168592558838408,0.6326641894116694,0.7345191346850961,0.7542984968989197,0.7327893931667516,0.7591836734693878,0.7419265071620036,0.7779241789777767,0.0001,0.6755771636962891,0.8101503759398496,0.859504132231405,0.7585185185185185,0.7857142857142857,0.7121212121212122,0.7558139534883721,0.6572864321608041,0.6161616161616161
frozen_backbone,3,22,0.5999625673529932,0.6173237949001545,0.7501811720647948,0.7668204235022986,0.7506374298827129,0.7714285714285715,0.7567048797636052,0.7887563192103997,0.0001,0.6720573902130127,0.8330170777988615,0.8796680497925311,0.7514792899408284,0.7979274611398963,0.7317473338802297,0.7665706051873199,0.68448098663926,0.6231155778894473
frozen_backbone,3,23,0.5915738625346489,0.6082774264471872,0.7544691673973405,0.7725405997146075,0.7531871494135645,0.7775510204081633,0.7614574333126926,0.7940619219268683,0.0001,0.6795792579650879,0.8286252354048964,0.8806584362139918,0.771513353115727,0.8105263157894737,0.7309304274937133,0.7758620689655172,0.6868076535750252,0.6231155778894473
frozen_backbone,3,24,0.5964132351938527,0.6107941955936198,0.7403456473932648,0.7741283386100014,0.7419683834778175,0.7755102040816326,0.7486982771097301,0.791443963332742,0.0001,0.6863288879394531,0.8327067669172933,0.864406779661017,0.7339181286549707,0.8148148148148148,0.7246861924686192,0.7670454545454546,0.6700715015321757,0.6502463054187192
frozen_backbone,3,25,0.573417410079707,0.611987234743274,0.7582830583994933,0.7626780681888917,0.7593064762876084,0.7673469387755102,0.7633083725098836,0.7831680149760536,0.0001,0.6679835319519043,0.8377862595419847,0.8706896551724138,0.7526236881559221,0.8020833333333334,0.7485572959604286,0.7688022284122563,0.6941649899396378,0.6091370558375635
frozen_backbone,3,26,0.5781592959229402,0.5927516326612355,0.7576049857507909,0.7884108203758503,0.7572667006629271,0.7918367346938775,0.7654606723762778,0.8075729955908065,0.0001,0.6633355617523193,0.8336557059961315,0.9016393442622951,0.7658959537572254,0.8191489361702128,0.7444535743631882,0.782608695652174,0.686414708886619,0.6502463054187192
frozen_backbone,3,27,0.5637597593952356,0.5883675782047972,0.7639919308076447,0.7951745529263525,0.7649158592554819,0.7959183673469388,0.7716045425841161,0.8092969205331577,0.0001,0.6767458915710449,0.8418079096045198,0.8851063829787233,0.7687776141384389,0.8369565217391305,0.7553719008264462,0.7887323943661971,0.690010298661174,0.6699029126213593
frozen_backbone,3,28,0.5456023244210982,0.5820215023293787,0.7749744699338877,0.785467610708588,0.774604793472718,0.7877551020408163,0.7824314260352151,0.8031693453361376,0.0001,0.6747546195983887,0.8411764705882353,0.8842975206611571,0.7827338129496403,0.8279569892473119,0.7671009771986971,0.7793696275071633,0.7088866189989785,0.6502463054187192
frozen_backbone,3,29,0.552561906695913,0.5794804857701671,0.7726301087817251,0.7955372332156857,0.7725650178480367,0.7959183673469388,0.779710892682498,0.8092264431239389,0.0001,0.676548957824707,0.8497607655502393,0.8936170212765957,0.775330396475771,0.8461538461538461,0.7596638655462185,0.7855153203342619,0.705765407554672,0.6568627450980392
frozen_backbone,3,30,0.5386760851091903,0.5738666585513523,0.7840416228229073,0.8002906345067362,0.7848036715961244,0.8,0.7893450044375445,0.8130282638167398,0.0001,0.6810448169708252,0.8565891472868217,0.8813559322033898,0.7863501483679525,0.8461538461538461,0.7828894269572235,0.7909604519774012,0.7103377686796315,0.6826923076923077
frozen_backbone,3,31,0.5485901568143846,0.5661404172984921,0.7876393840143818,0.8047500757953647,0.788883222845487,0.8061224489795918,0.7954982089667832,0.818926193523047,0.0001,0.6744289398193359,0.8571428571428571,0.8907563025210085,0.7860262008733624,0.8369565217391305,0.7847682119205298,0.8022922636103151,0.7226202661207779,0.6889952153110048
frozen_backbone,3,32,0.5233704083613873,0.5641873724606572,0.7873569827761634,0.8032979835447279,0.7863335033146354,0.8020408163265306,0.7954015351384045,0.8141511510782251,0.0001,0.6589705944061279,0.8552123552123552,0.8869565217391304,0.7965367965367965,0.8461538461538461,0.7661691542288557,0.7910863509749304,0.7315096251266464,0.6889952153110048
frozen_backbone,3,33,0.5247866612864295,0.5654568291440302,0.7815941383270344,0.7980761646102067,0.7817440081591025,0.8,0.7874271275599163,0.8133291785976737,0.0001,0.6792130470275879,0.8528015194681862,0.8945147679324894,0.7820895522388059,0.8324324324324325,0.768713204373423,0.7954545454545454,0.7227722772277227,0.6699029126213593
frozen_backbone,3,34,0.5155457261871891,0.5438821984797108,0.7976842129153964,0.8174648835541036,0.7975522692503825,0.8183673469387756,0.8038149389007533,0.8305715955451942,0.0001,0.6767995357513428,0.8568665377176016,0.9045643153526971,0.8070692194403535,0.8461538461538461,0.7976973684210527,0.8115942028985508,0.729103726082578,0.7075471698113207
frozen_backbone,3,35,0.5040803632980582,0.5526935292749989,0.793458468371255,0.8105822580036682,0.7929627740948496,0.810204081632653,0.8005487644183374,0.8222861446164762,0.0001,0.6721067428588867,0.851063829787234,0.8936170212765957,0.8046647230320699,0.8461538461538461,0.7897350993377483,0.8011363636363636,0.7283702213279678,0.7014218009478673
frozen_backbone,3,36,0.4894717721413861,0.5475966626284073,0.8002912977099549,0.8056258652970165,0.8001019887812341,0.8061224489795918,0.8066895195587176,0.8181834091427413,0.0001,0.6752197742462158,0.8579654510556622,0.896551724137931,0.8,0.8369565217391305,0.7855340622371741,0.8,0.7576656775469832,0.6889952153110048
frozen_backbone,3,37,0.48758886855576244,0.533967054498439,0.8192002921272874,0.8033602318585729,0.8194798572157063,0.8020408163265306,0.8241575622343431,0.8138502362972911,0.0001,0.6703698635101318,0.8824101068999028,0.8771929824561403,0.8214285714285714,0.8415300546448088,0.8207236842105263,0.7932960893854749,0.7522388059701492,0.7014218009478673
frozen_backbone,3,38,0.4967056697634396,0.5422801512844708,0.8077503764369319,0.7999873571267007,0.8072412034676185,0.7979591836734694,0.8132130991492355,0.8097475008235562,0.0001,0.6662867069244385,0.8871287128712871,0.8722466960352423,0.8093841642228738,0.850828729281768,0.7986960065199674,0.7878787878787878,0.7357926221335992,0.6889952153110048
frozen_backbone,3,39,0.4849176950931306,0.535206548535094,0.8097104594166861,0.8050993350868774,0.8092809790922999,0.8061224489795918,0.8155695789412298,0.8187052587233612,0.0001,0.6636958122253418,0.8712121212121212,0.8983050847457628,0.8131539611360239,0.8415300546448088,0.7921967769296013,0.8011363636363636,0.762278978388998,0.6794258373205742
frozen_backbone,3,40,0.48536922960850365,0.5275852360287491,0.8047204657703085,0.8000188544657791,0.8057113717491076,0.8,0.8105769176988786,0.8122150020272154,5e-05,0.6720385551452637,0.8770571151984511,0.8917748917748918,0.799410029498525,0.8461538461538461,0.8019720624486442,0.7922437673130194,0.7404426559356136,0.6699029126213593
frozen_backbone,3,41,0.48532184656027444,0.5319835324676669,0.8081903021378649,0.7986913102442843,0.8082610912799592,0.7979591836734694,0.813980849631948,0.8101988729949574,5e-05,0.6696052551269531,0.877431906614786,0.8908296943231441,0.8082595870206489,0.8461538461538461,0.8039867109634552,0.7878787878787878,0.7430830039525692,0.6699029126213593
frozen_backbone,3,42,0.4777444546347914,0.5319928256832823,0.8092711376478257,0.7993189054851393,0.8092809790922999,0.7979591836734694,0.8156409940561749,0.8101988729949574,5e-05,0.6751542091369629,0.8801534036433365,0.8908296943231441,0.8094534711964549,0.850828729281768,0.7959866220735786,0.7857142857142857,0.7514910536779325,0.6699029126213593
frozen_backbone,3,43,0.47034649232526876,0.5168018427430366,0.815229407209485,0.8066825356819014,0.815910249872514,0.8061224489795918,0.8195783061609226,0.8179624743430556,5e-05,0.662834644317627,0.8838582677165354,0.896551724137931,0.8041543026706232,0.850828729281768,0.8098765432098766,0.7966573816155988,0.7630285152409046,0.6826923076923077
frozen_backbone,3,44,0.4608263729300686,0.5191371620917807,0.8207707598416643,0.8017632318393952,0.8225395206527282,0.8020408163265306,0.8268137634681485,0.8142311310594734,5e-05,0.6741211414337158,0.8914956011730205,0.896551724137931,0.8070175438596491,0.8461538461538461,0.823240589198036,0.7944444444444444,0.7613293051359517,0.6699029126213593
frozen_backbone,3,45,0.484965228672723,0.5215882622465795,0.8046324620335213,0.8023817833385194,0.8052014278429372,0.8020408163265306,0.8128936292574741,0.8142311310594734,5e-05,0.6620652675628662,0.8693994280266921,0.896551724137931,0.806966618287373,0.850828729281768,0.8,0.7922437673130194,0.7421638018200202,0.6699029126213593
frozen_backbone,3,46,0.46280192246794516,0.5277676100633583,0.8134400815981437,0.7933959296231983,0.8143804181540031,0.7918367346938775,0.8197399489042718,0.8041504858981832,2.5e-05,0.6582973003387451,0.8785228377065112,0.8761061946902655,0.808199121522694,0.8461538461538461,0.8135313531353136,0.7814207650273224,0.7535070140280561,0.6699029126213593
frozen_backbone,3,47,0.45924883245023645,0.517371311236401,0.8207042944088998,0.8033320070596264,0.8210096889342172,0.8020408163265306,0.8259918265977119,0.8139302162785395,2.5e-05,0.6668882369995117,0.8777120315581854,0.8908296943231441,0.8181818181818182,0.850828729281768,0.8189233278955954,0.7922437673130194,0.768,0.6794258373205742
frozen_backbone,3,48,0.4585870112283445,0.5128315229805148,0.8194381210741928,0.8073110079575596,0.8194798572157063,0.8061224489795918,0.8228977089871952,0.8179624743430556,2.5e-05,0.6772506237030029,0.875,0.896551724137931,0.8212121212121212,0.8555555555555555,0.8141447368421053,0.7944444444444444,0.7673956262425448,0.6826923076923077
frozen_backbone,3,49,0.4540795340548967,0.5136498921987962,0.8141616683157946,0.8030163602334076,0.8148903620601734,0.8020408163265306,0.8204919188656092,0.8142311310594734,2.5e-05,0.6663377285003662,0.8854667949951877,0.896551724137931,0.8082595870206489,0.8555555555555555,0.8087248322147651,0.7900552486187845,0.7541954590325765,0.6699029126213593
