split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,1.0,1.0,1.0,1.0,124
val,AMI,Anterior,0.9937888198757764,1.0,0.9975609756097561,1.0,80
val,IMI,Inferior,0.9967213114754099,1.0,0.9970414201183432,1.0,152
val,Lateral-involved MI,Lateral,0.9924812030075187,0.9850746268656716,1.0,1.0,134
test,NORM,Normal,0.8937728937728938,0.8652482269503546,0.9726775956284153,0.9775995039336511,141
test,AMI,Anterior,0.8313253012048193,0.711340206185567,1.0,0.9630374654262006,97
test,IMI,Inferior,0.9015544041450777,0.9456521739130435,0.913312693498452,0.9511626733073093,184
test,Lateral-involved MI,Lateral,0.8994708994708994,1.0,0.9549763033175356,0.9885698355171453,85
