,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08329664,0.083361685,0.08326093,0.08336823,0.08330092,0.08326684,0.0834139,0.08335712,0.083342314,0.08336027,0.0833497,0.08332149
AMI,0.007329092,0.0073288325,0.0073320484,0.0073348824,0.0073334845,0.007350044,0.2354171,0.23530741,0.23530889,0.23529792,0.007330801,0.007329503
IMI,0.006034767,0.006046025,0.3146338,0.31580678,0.31512114,0.0060499995,0.00607152,0.0060645468,0.0060562887,0.0060457913,0.0060362923,0.006033123
Lateral-involved MI,0.14677411,0.1469213,0.06151277,0.061671525,0.06158433,1.0030935e-07,0.06162035,0.061578564,0.06156841,0.043569498,0.14657155,0.14662753
