split,label,internal_label,f1_score
val,NORM,Normal,0.9879518072289156
val,AMI,Anterior,1.0
val,IMI,Inferior,0.9803921568627451
val,Lateral-involved MI,Lateral,0.9885931558935361
test,NORM,Normal,0.8782287822878229
test,AMI,Anterior,0.8170731707317073
test,IMI,Inferior,0.8759493670886076
test,Lateral-involved MI,Lateral,0.9239130434782609
