,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.083403826,0.083531335,0.08318086,0.08344334,0.08328857,0.083155446,0.08336987,0.08338177,0.08340648,0.08335835,0.083230436,0.08324967
AMI,0.0073410375,0.0073392713,0.0073417877,0.007332017,0.00733768,0.007327035,0.23502713,0.2352542,0.23542276,0.23559126,0.00734357,0.007342041
IMI,0.00604709,0.0060537257,0.31512406,0.31530353,0.31516957,0.006033729,0.006040626,0.006049414,0.006052059,0.006048587,0.0060392963,0.006038436
Lateral-involved MI,0.14686145,0.14682712,0.061595865,0.061563827,0.061593585,1.0008098e-07,0.06146774,0.061528217,0.06154881,0.043578535,0.14669237,0.1467422
