epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,learning_rate
1,0.6920476331783568,0.5917262804296306,0.31765719978285145,0.4078183759023144,0.0001
2,0.5426656947272812,0.45762575963476404,0.4630311180986326,0.5216916218937541,0.0001
3,0.4817397113175924,0.42132306525461655,0.5192650742673206,0.5616401199342518,0.0001
4,0.4594843443262324,0.4212729499282825,0.5381317711482422,0.5707949611056667,0.0001
5,0.4422563231953838,0.4035119901639609,0.5560804774933584,0.5740805170168117,0.0001
6,0.42992285771771105,0.415888310542805,0.5723386951042517,0.6032027073669128,0.0001
7,0.4207951277876838,0.3932111988161625,0.5786385513224876,0.5888875898743352,0.0001
8,0.41225103429985116,0.4030813811212751,0.5860517358969815,0.5853669161130124,0.0001
9,0.4050971392132425,0.38976760202041333,0.5953789235226596,0.6043724558841221,0.0001
10,0.3979994184470091,0.38475931075406417,0.6032272603519566,0.616358017499073,0.0001
11,0.39190560912275973,0.3866056688865678,0.6122175437292084,0.6181163846718519,0.0001
12,0.38339133195329805,0.37645117069510514,0.6222537773488224,0.6390464586836034,0.0001
13,0.35591697803463257,0.3575317918568333,0.6568612678063022,0.6526487684373989,0.0001
14,0.33912658394992357,0.33850593372966625,0.6814028080104211,0.6643571592285136,0.0001
15,0.32785537678091353,0.3316748471553113,0.6978158025763128,0.6814578647866242,0.0001
16,0.31887230569011255,0.3568955226618807,0.7083619270202941,0.665246573054605,0.0001
17,0.31121217438041526,0.33550727666692143,0.7178731609246777,0.6892694564802855,0.0001
18,0.3039404939183607,0.33988356061983854,0.7261281067213896,0.6801312982899106,0.0001
19,0.29866626736115515,0.34548491873220627,0.7325257912762553,0.6854898766586522,0.0001
20,0.29090660324724865,0.3349243571200167,0.7422468207964747,0.6946485732526644,0.0001
21,0.2862511482929041,0.32690548384463086,0.7479534684531348,0.6951516621181268,0.0001
22,0.2813270827161393,0.32467786888516953,0.7574634115753741,0.7110938905642836,0.0001
23,0.27611303921482444,0.31740211899865184,0.7628721140457242,0.716736133377184,0.0001
24,0.2712398228397905,0.3188745152002607,0.7689123972382603,0.7232146275357492,0.0001
25,0.2659731154973867,0.31712848710111846,0.7758390907634287,0.7270228737039107,0.0001
26,0.26034297265930834,0.33656786255192084,0.7827252233398734,0.715673097051287,0.0001
27,0.2563991434413564,0.3361075845462406,0.7855655575506905,0.7186482531763482,0.0001
28,0.2522442855113558,0.3303230590524055,0.791082323681565,0.717518453245115,0.0001
29,0.2473498606716667,0.3411096675359381,0.797484902738768,0.7235944629436459,0.0001
30,0.24340065796173543,0.34150331738042417,0.8016226928471706,0.7249959305273206,0.0001
31,0.24226206846556458,0.31718112244427804,0.8035599561460931,0.7388716474252424,0.0001
32,0.23811520287294116,0.3362317730790665,0.8096908014514648,0.7295912707631775,0.0001
33,0.23451583683999555,0.33382672710450034,0.8119024178580421,0.7317532435617524,0.0001
34,0.22955230875292768,0.3373680943665634,0.8167287428249863,0.7287100902170154,0.0001
35,0.22581815071106265,0.34691047306228867,0.8185723924153725,0.7271690164837775,0.0001
36,0.2249533276061176,0.35453727811493435,0.8212948056695326,0.7237309862573738,0.0001
37,0.22169072798139566,0.32634612469869123,0.8252236512473101,0.7395949792010481,0.0001
38,0.21845481088018076,0.33194481983749163,0.8273596874491631,0.7373426500113887,0.0001
39,0.21391033103523588,0.37146300687113637,0.8317862793459352,0.7302409459431394,0.0001
40,0.21231496549055198,0.3582362473261181,0.8346210627954107,0.7242282787081247,0.0001
41,0.2110553655538905,0.34253135037590615,0.8356161037952394,0.7338836060634601,0.0001
42,0.20729507504997063,0.36372327825167156,0.837229905105146,0.7301253693028951,0.0001
43,0.20491675345574792,0.35401137537045324,0.8399252203757256,0.7371765808642616,5e-05
44,0.19283962175605088,0.3628247375694842,0.8523786501249946,0.7305669999820956,5e-05
45,0.19058510999366374,0.35941634695514,0.8557544261394874,0.7355763299641843,5e-05
46,0.1895348698018634,0.35354603156707765,0.8566547843306368,0.7432852969174696,5e-05
47,0.18820224795110108,0.36305895256542464,0.8581959614965413,0.7349392819474277,5e-05
48,0.18585682788874364,0.37992529169435885,0.8603858058076961,0.7256591999488382,5e-05
49,0.18504592610807777,0.3840471944437495,0.8612703032436947,0.7319201438153257,5e-05
50,0.18418893793341926,0.38024186056228404,0.8621264129864784,0.7298950011967087,5e-05
