class,internal_label,expected_clinical_leads,top3_learned_mask_leads,top5_learned_mask_leads,overlap_at_3,overlap_at_5,mean_expected_mask_weight,mean_non_expected_mask_weight
NORM,Normal,"I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6","aVR,II,V5","aVR,II,V5,V6,aVF",1.0,1.0,0.5001582503318787,
AMI,Anterior,"V1,V2,V3,V4","III,V1,V3","III,V1,V3,V4,V5",0.6666666666666666,0.75,0.5052752494812012,0.48966455459594727
IMI,Inferior,"II,III,aVF","aVL,I,V2","aVL,I,V2,V3,III",0.0,0.3333333333333333,0.4925752878189087,0.5038759708404541
Lateral-involved MI,Lateral,"I,aVL,V5,V6","III,V4,V1","III,V4,V1,aVF,V3",0.0,0.0,0.49081316590309143,0.5020917057991028
