class,internal_label,expected_clinical_leads,top3_learned_mask_leads,top5_learned_mask_leads,overlap_at_3,overlap_at_5,mean_expected_mask_weight,mean_non_expected_mask_weight
NORM,Normal,"I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6","V6,V5,II","V6,V5,II,aVR,aVF",1.0,1.0,0.5001381039619446,
AMI,Anterior,"V1,V2,V3,V4","V5,V4,III","V5,V4,III,V1,V6",0.3333333333333333,0.5,0.4994083642959595,0.49942463636398315
IMI,Inferior,"II,III,aVF","V2,V4,V3","V2,V4,V3,aVL,I",0.0,0.0,0.4987938404083252,0.4996694028377533
Lateral-involved MI,Lateral,"I,aVL,V5,V6","V3,V2,V4","V3,V2,V4,V1,aVF",0.0,0.0,0.4991988241672516,0.50044184923172
