split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,1.0,1.0,1.0,1.0,124
val,AMI,Anterior,1.0,1.0,1.0,1.0,81
val,IMI,Inferior,1.0,1.0,1.0,1.0,152
val,Lateral-involved MI,Lateral,1.0,1.0,1.0,1.0,133
test,NORM,Normal,0.9057971014492754,0.8865248226950354,0.9726775956284153,0.9936247723132969,141
test,AMI,Anterior,0.8520710059171598,0.7422680412371134,1.0,0.9408096555192357,97
test,IMI,Inferior,0.9086161879895561,0.9456521739130435,0.9226006191950464,0.986286848835644,184
test,Lateral-involved MI,Lateral,0.9139784946236559,1.0,0.9620853080568721,0.9720379146919431,85
