split,macro_f1,micro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy,loss
val,1.0,1.0,1.0,1.0,1.0,1.0,0.004102493767693107
test,0.8951156974949118,0.8994082840236687,0.8979128787207128,0.893611259461298,0.9731897978400299,0.8994082840236687,0.5655227859653312
