split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9411764705882353,0.9032258064516129,0.994535519125683,0.9977084435043186,124
val,AMI,Anterior,0.9132947976878613,0.9753086419753086,0.9682151589242054,0.9961665006489783,81
val,IMI,Inferior,0.9433962264150944,0.9868421052631579,0.9526627218934911,0.9963990968545624,152
val,Lateral-involved MI,Lateral,0.9163346613545816,0.8646616541353384,0.9915966386554622,0.9934921336955835,133
test,NORM,Normal,0.8962962962962963,0.8581560283687943,0.9781420765027322,0.9728713715459443,141
test,AMI,Anterior,0.8520710059171598,0.7422680412371134,1.0,0.9949207945687705,97
test,IMI,Inferior,0.765375854214123,0.9130434782608695,0.7306501547987616,0.9552261407995692,184
test,Lateral-involved MI,Lateral,0.4117647058823529,0.32941176470588235,0.9454976303317536,0.9404516308893226,85
