split,macro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy
val,0.6652439789453424,0.6592893942441597,0.6943794110425405,0.8759779437464312,0.6816326530612244
test,0.5341609648213421,0.5915121944037876,0.5499765951088943,0.784726602242426,0.6134122287968442
