split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.959349593495935,0.9516129032258065,0.9890710382513661,0.9971796227745461,124
val,AMI,Anterior,0.9411764705882353,0.9876543209876543,0.9779951100244498,0.9994566693833198,81
val,IMI,Inferior,0.9433962264150944,0.9868421052631579,0.9526627218934911,0.996301775147929,152
val,Lateral-involved MI,Lateral,0.9024390243902439,0.8345864661654135,0.9943977591036415,0.9973673679998316,133
test,NORM,Normal,0.7642276422764228,0.6666666666666666,0.9699453551912568,0.958454443281789,141
test,AMI,Anterior,0.7513812154696132,0.7010309278350515,0.9609756097560975,0.9221775207442796,97
test,IMI,Inferior,0.7587822014051522,0.8804347826086957,0.7492260061919505,0.9237616099071209,184
test,Lateral-involved MI,Lateral,0.8875,0.8352941176470589,0.990521327014218,0.9979648731530527,85
