split,accuracy,balanced_accuracy,macro_f1,micro_f1,weighted_f1,f1_NORM,sensitivity_NORM,specificity_NORM,auc_NORM,f1_AMI,sensitivity_AMI,specificity_AMI,auc_AMI,f1_IMI,sensitivity_IMI,specificity_IMI,auc_IMI,f1_Lateral-involved MI,sensitivity_Lateral-involved MI,specificity_Lateral-involved MI,auc_Lateral-involved MI,macro_auc,loss
val,0.8044871794871795,0.8169007787478255,0.7989566779387083,0.8044871794871795,0.7980938418507597,0.8333333333333334,0.7142857142857143,1.0,0.9790549875656259,0.8103448275862069,1.0,0.9169811320754717,0.9319550381372943,0.8368200836820083,0.9900990099009901,0.8199052132701422,0.9541551311529257,0.7153284671532847,0.5632183908045977,0.9955555555555555,0.7858492975734356,0.9127536136073203,1.4617065015511634
test,0.7258382642998028,0.6489920002161674,0.6224138146616257,0.7258382642998028,0.6803069207438127,0.9174917491749175,0.9858156028368794,0.9371584699453552,0.992675270317405,0.847457627118644,0.7731958762886598,0.9878048780487805,0.9584862962031682,0.7247058823529412,0.8369565217391305,0.7306501547987616,0.9125218737380536,0.0,0.0,0.943127962085308,0.8619180373571229,0.9314003694039374,1.7828534868944443
