split,label,internal_label,f1_score
val,NORM,Normal,1.0
val,AMI,Anterior,1.0
val,IMI,Inferior,0.9966777408637874
val,Lateral-involved MI,Lateral,0.9962825278810409
test,NORM,Normal,0.9477351916376306
test,AMI,Anterior,0.8452380952380952
test,IMI,Inferior,0.9202127659574468
test,Lateral-involved MI,Lateral,0.8961748633879781
