variant,strategy,fold,epoch,train_loss,val_loss,train_loss_cls,val_loss_cls,train_loss_sens,val_loss_sens,train_loss_cons,val_loss_cons,train_loss_sparse,val_loss_sparse,train_loss_div,val_loss_div,train_main_macro_f1,val_main_macro_f1,train_accuracy,val_accuracy,learning_rate,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
clicnet_counterfactual,no_pretrain,3,1,1.3796792903279602,1.20014257187746,1.3121120568625115,1.1378472522813448,0.5042809329885174,0.3801239431512599,0.04280137277147954,0.1857061802428596,0.4999083064454724,0.4997616410255432,0.999999853860718,0.9999995231628418,0.3120691056480677,0.4180347396690635,0.37276899541050484,0.5102040816326531,0.0001,0.4724220623501199,0.6735395189003437,0.017191977077363897,0.0,0.43198992443324935,0.5,0.3266724587315378,0.49859943977591037
clicnet_counterfactual,no_pretrain,3,2,1.1624005557565529,1.0010802692296554,1.0942387689381823,0.9426904306119802,0.49236354412684813,0.36101347487799973,0.07858273389234888,0.14586583163057054,0.4996302886497968,0.4995212256908417,0.9999987955059342,0.9999973177909851,0.4552701133930681,0.47584069034006515,0.5196328403875574,0.5714285714285714,0.0001,0.738898756660746,0.7785714285714286,0.12637362637362637,0.023255813953488372,0.49740932642487046,0.6269592476489029,0.45839874411302983,0.4745762711864407
clicnet_counterfactual,no_pretrain,3,3,1.0123226479995258,0.7982504084402201,0.939517577803299,0.7419243959748015,0.5138506102112105,0.29338765302482916,0.12850781470491593,0.23986460092116374,0.4994667103131288,0.49940961599349976,0.9999947333323719,0.9999915361404419,0.5753456313305161,0.7129845544386466,0.5859255481896991,0.710204081632653,0.0001,0.7935606060606061,0.8171206225680934,0.47377938517179025,0.8021978021978022,0.5531197301854974,0.6855345911949685,0.48092280390417036,0.547085201793722
clicnet_counterfactual,no_pretrain,3,4,0.887355339369076,0.7250843059043495,0.8083377565309018,0.6507017408098493,0.5366924593851069,0.3614367233247173,0.20709750544106942,0.46492008311407906,0.499358778201093,0.49930524826049805,0.9999877012000894,0.999983012676239,0.6590284359166118,0.6972758794838453,0.6557878633350331,0.7163265306122449,0.0001,0.8156862745098039,0.8467153284671532,0.7021276595744681,0.7821229050279329,0.6323185011709602,0.7220630372492837,0.48598130841121495,0.43820224719101125
clicnet_counterfactual,no_pretrain,3,5,0.8048918468802635,0.6337413083533852,0.7225833685345823,0.558056112454862,0.5431098419297173,0.3798879939074419,0.26010337389895405,0.45409251512313376,0.4992541064114549,0.49920278787612915,0.999978094639552,0.9999723434448242,0.6970800952154722,0.7659180761284449,0.6940336562978072,0.7714285714285715,0.0001,0.8528225806451613,0.8947368421052632,0.7374461979913917,0.8444444444444444,0.6744913928012519,0.7544910179640718,0.5235602094240838,0.57
clicnet_counterfactual,no_pretrain,3,6,0.726883808184132,0.5492346006996778,0.641084334821132,0.46938643698789634,0.5440456956883343,0.3104786369873553,0.32807296316943446,0.6761912039348057,0.4991577296826014,0.49911126494407654,0.9999669646803424,0.999961256980896,0.7455159161715175,0.8309030731607937,0.7414584395716471,0.8326530612244898,0.0001,0.8794466403162056,0.9243027888446215,0.7870778267254038,0.8491620111731844,0.7145135566188198,0.8333333333333334,0.601025641025641,0.7168141592920354
clicnet_counterfactual,no_pretrain,3,7,0.6672425395915972,0.512226572936895,0.5772573430279212,0.42266452841612756,0.5621476220209218,0.3393157010175744,0.3756028592191382,0.8128126808575221,0.49907262089117516,0.49903368949890137,0.9999554787042007,0.9999487400054932,0.7787299435982383,0.8349605477765334,0.77766445690974,0.8387755102040816,0.0001,0.8884381338742393,0.9375,0.8124118476727785,0.8488372093023255,0.7730441518202944,0.8449848024316109,0.6410256410256411,0.7085201793721974
clicnet_counterfactual,no_pretrain,3,8,0.6224429078821866,0.457377440710457,0.5281747497811967,0.36975291523398185,0.5762778032895924,0.2963552015776537,0.43301790283991937,0.8599982320045938,0.49900535668480583,0.4989735782146454,0.9999427752857121,0.9999359846115112,0.7930680921058121,0.8431110515851428,0.7924528301886793,0.8469387755102041,0.0001,0.9023904382470119,0.9508196721311475,0.7976539589442815,0.8421052631578947,0.788961038961039,0.8563049853372434,0.6832669322709163,0.7232142857142857
clicnet_counterfactual,no_pretrain,3,9,0.5694251274466818,0.4274757742881775,0.47393260830096723,0.3279005128510144,0.5640235510424411,0.2980144737326369,0.48202744602002034,1.0957077474010235,0.4989489923473039,0.4989205598831177,0.9999295765194949,0.9999231100082397,0.8256942676473744,0.8678928188729435,0.8250892401835798,0.8714285714285714,0.0001,0.9216867469879518,0.9554655870445344,0.8388969521044993,0.8587570621468926,0.8211189913317573,0.8834355828220859,0.7210743801652892,0.7739130434782608
clicnet_counterfactual,no_pretrain,3,10,0.5283861778513137,0.3792466246351904,0.42917425476854276,0.2774981029787842,0.5850209844227897,0.28325425167472995,0.5144334947619129,1.1687052614834843,0.4988983173354556,0.4988727569580078,0.9999171006077714,0.9999094009399414,0.8445914436630617,0.8958014845160733,0.842937276899541,0.8959183673469387,0.0001,0.934934934934935,0.9672131147540983,0.8550295857988166,0.8982035928143712,0.8376623376623377,0.8942598187311178,0.7507389162561576,0.8235294117647058
clicnet_counterfactual,no_pretrain,3,11,0.48522272202994127,0.34240036801416046,0.38479316464071067,0.2341349452125783,0.5770954603841267,0.26468507270423736,0.5546491150950851,1.3361926103124813,0.4988533595214992,0.4988340735435486,0.9999020420307411,0.9998942613601685,0.8675742197151961,0.9241400875547218,0.8628250892401835,0.9244897959183673,0.0001,0.9427402862985685,0.983739837398374,0.8956127080181543,0.9230769230769231,0.8471337579617835,0.9230769230769231,0.7848101265822784,0.8666666666666667
clicnet_counterfactual,no_pretrain,3,12,0.45262699633882336,0.32278995234139113,0.34859274968330134,0.22057198833446112,0.5917091642272284,0.2781223152973214,0.597526573332398,1.1883802214447332,0.4988125240936503,0.4987923800945282,0.9998877313233103,0.9998804926872253,0.8809389889880305,0.9252390290991717,0.8765935747067822,0.9224489795918367,0.0001,0.9469387755102041,0.9836065573770492,0.907185628742515,0.9440993788819876,0.8626817447495961,0.9101796407185628,0.806949806949807,0.8630705394190872
