split,label,internal_label,f1_score
val,NORM,Normal,1.0
val,AMI,Anterior,1.0
val,IMI,Inferior,0.9967213114754099
val,Lateral-involved MI,Lateral,0.9962546816479401
test,NORM,Normal,0.9263157894736842
test,AMI,Anterior,0.88
test,IMI,Inferior,0.8066037735849056
test,Lateral-involved MI,Lateral,0.5384615384615384
