split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,1.0,1.0,1.0,1.0,124
val,AMI,Anterior,1.0,1.0,1.0,1.0,80
val,IMI,Inferior,0.9967213114754099,1.0,0.9970414201183432,1.0,152
val,Lateral-involved MI,Lateral,0.9962546816479401,0.9925373134328358,1.0,1.0,134
test,NORM,Normal,0.9263157894736842,0.9361702127659575,0.9672131147540983,0.9924814943998759,141
test,AMI,Anterior,0.88,0.7938144329896907,0.9975609756097561,0.9553180789539855,97
test,IMI,Inferior,0.8066037735849056,0.9293478260869565,0.7863777089783281,0.950582177951272,184
test,Lateral-involved MI,Lateral,0.5384615384615384,0.4117647058823529,0.976303317535545,0.9599107889601338,85
