split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,1.0,1.0,1.0,1.0,124
val,AMI,Anterior,1.0,1.0,1.0,1.0,81
val,IMI,Inferior,0.9967213114754099,1.0,0.9970414201183432,0.9999221426346933,152
val,Lateral-involved MI,Lateral,0.9962264150943396,0.9924812030075187,1.0,0.999936816831996,133
test,NORM,Normal,0.958904109589041,0.9929078014184397,0.9699453551912568,0.9914351044452195,141
test,AMI,Anterior,0.8520710059171598,0.7422680412371134,1.0,0.939527281870757,97
test,IMI,Inferior,0.9398907103825137,0.9347826086956522,0.9690402476780186,0.9625286041189931,184
test,Lateral-involved MI,Lateral,0.9090909090909091,1.0,0.9597156398104265,0.971396710342905,85
