epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,train_accuracy,val_accuracy,learning_rate,epoch_time,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
1,1.294249817000495,1.1142899632562586,0.36768531750587463,0.43210043647455876,0.38305555555555554,0.5445153448799757,0.0001,0.8352994918823242,0.4934049829018075,0.6836303038072042,0.18273381294964028,0.17127564674397858,0.3656480505795574,0.2328913275415333,0.4289544235924933,0.640604467805519
2,1.0869268978966606,0.9285281334231958,0.5298085024808358,0.4960423163744353,0.5477777777777778,0.6347614706776056,0.0001,0.755711555480957,0.6425818882466281,0.7619335712989291,0.3318777292576419,0.19988577955454026,0.5435779816513762,0.3566012055220688,0.6011964107676969,0.6657487091222031
3,0.9815004751417372,0.9056444989262074,0.5871891662369372,0.5251302081721405,0.5919444444444445,0.6196444849589791,0.0001,0.7258596420288086,0.6352694924123495,0.7385758513931888,0.47588832487309646,0.2820355610055181,0.6086009798584648,0.3999094202898551,0.6289978678038379,0.68
4,0.8917722018559774,0.8192833352146884,0.6436549117839908,0.5486077929332549,0.6438888888888888,0.6575508963840778,0.0001,0.7277944087982178,0.6559911651021535,0.7753319775092714,0.6058185966913862,0.38074866310160427,0.6431670281995662,0.37775647171620325,0.6696428571428571,0.6605940594059406
5,0.860418045785692,0.7793325959132892,0.6571501658573505,0.5636310913743744,0.6575,0.672060164083865,0.0001,0.7322170734405518,0.6618863761720905,0.7858672376873662,0.6242111302352267,0.3802698145025295,0.6692139737991266,0.4101694915254237,0.673289183222958,0.6782178217821783
6,0.812570571369595,0.7692985990894344,0.6766665320889612,0.5608487443423557,0.6766666666666666,0.6818596171376481,0.0001,0.7259829044342041,0.6651810584958218,0.7973894637817498,0.6595863610955841,0.37400950871632327,0.6843817787418656,0.41042812724228656,0.6975169300225733,0.6615678776290631
7,0.7816443671120538,0.6721096215947933,0.6912810570543911,0.5867634671031164,0.6911111111111111,0.7138407778790641,0.0001,0.7229049205780029,0.6904078116025273,0.8238463743192892,0.6749864351600651,0.3867403314917127,0.69118442401298,0.4433497536945813,0.7085455574419921,0.6931174089068826
8,0.7553989209069146,0.7526316257350462,0.7089452489991923,0.5684006342160495,0.7088888888888889,0.6818596171376481,0.0001,0.7356984615325928,0.7037861915367484,0.7935380791762826,0.699724517906336,0.3641951594314253,0.7093922651933702,0.4193933604012419,0.7228780213603148,0.6964759378552482
9,0.7334392070770264,0.8040844269778293,0.7169302557729369,0.5464720537424448,0.7169444444444445,0.6466879367973261,0.0001,0.73988938331604,0.703125,0.7603366264178558,0.7159533073929961,0.3500697350069735,0.713495575221239,0.4151193633952255,0.7351471404775125,0.6603624901497241
10,0.7330803691016303,0.8031701349770178,0.7100870383583459,0.554283820741392,0.7102777777777778,0.6552719538134306,0.0001,0.7255144119262695,0.6939704209328783,0.7672628069111852,0.7056874654886803,0.3851132686084142,0.7032723239046035,0.3750548967940272,0.737417943107221,0.6897043106519416
