class,internal_label,expected_clinical_leads,top3_learned_mask_leads,top5_learned_mask_leads,overlap_at_3,overlap_at_5,mean_expected_mask_weight,mean_non_expected_mask_weight
NORM,Normal,"I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6","aVR,II,V5","aVR,II,V5,V6,V2",1.0,1.0,0.5056145787239075,
AMI,Anterior,"V1,V2,V3,V4","V6,V5,V1","V6,V5,V1,III,II",0.3333333333333333,0.25,0.48301729559898376,0.48705294728279114
IMI,Inferior,"II,III,aVF","I,aVL,V3","I,aVL,V3,V6,III",0.0,0.3333333333333333,0.4799089729785919,0.49798208475112915
Lateral-involved MI,Lateral,"I,aVL,V5,V6","aVF,III,V1","aVF,III,V1,V4,V2",0.0,0.0,0.46976029872894287,0.5070117115974426
