epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,train_accuracy,val_accuracy,learning_rate,epoch_time,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
1,1.3400492657555474,1.235346178159421,0.33275322422972986,0.3206428306330477,0.3408333333333333,0.505773321178973,0.0001,2.4366462230682373,0.37153720803910917,0.6797335870599429,0.2193979933110368,0.09462966660011979,0.3103825136612022,0.02459016393442623,0.4296951819075713,0.4836179049377019
2,1.162077333662245,0.8518476596142304,0.46316269334833304,0.4961474908179415,0.48277777777777775,0.7370859920996657,0.0001,2.3438284397125244,0.5838450637694851,0.873215785054576,0.3273453093812375,0.2582813250120019,0.33483001924310457,0.2410958904109589,0.6066303809995052,0.6119969627942293
3,1.0764555899302164,0.7890821377472543,0.5293745013341602,0.4933590000088981,0.5366666666666666,0.7304770586447888,0.0001,2.3367607593536377,0.633350331463539,0.8699751072506753,0.4225526641883519,0.28046850269072493,0.4346820809248555,0.2105862265224815,0.6269129287598945,0.6124061635717107
4,1.0095988602108426,0.8116281447856849,0.5642146948514648,0.5145556353094117,0.5680555555555555,0.7059404436341538,0.0001,2.3389222621917725,0.6390471258415329,0.8504337256202,0.5017835909631391,0.30652680652680653,0.47058823529411764,0.2956945572705118,0.6454398273070696,0.6055674518201285
5,0.9543302117453681,0.8705929379193698,0.6047568659644637,0.5155123060904632,0.6069444444444444,0.6776815557581283,0.0001,2.345716714859009,0.6817941952506597,0.8166868616929202,0.5841013824884793,0.32871720116618075,0.4934172867773326,0.2901307966706302,0.6597145993413831,0.6265143648321219
6,0.9274181530210707,0.7207621587007396,0.6102742076597618,0.5700146779092838,0.6111111111111112,0.7444545730780918,0.0001,2.3409271240234375,0.6739130434782609,0.8666666666666667,0.595793064241046,0.3789752650176678,0.5025238362310712,0.3736958583623143,0.6688668866886689,0.6607209215904868
7,0.8934159421920777,0.7669303503053886,0.6369316018922886,0.5348548929826924,0.6375,0.6956852020662413,0.0001,2.339604139328003,0.706140350877193,0.8367219089925394,0.602615122228539,0.31837189852244213,0.562047857540345,0.3514467184191955,0.676923076923077,0.6328790459965928
8,0.8625329314337836,0.7186149816243563,0.6643699322867104,0.5430529328601095,0.6655555555555556,0.715587967183227,0.0001,2.34238600730896,0.7255113024757804,0.8512986289153941,0.6619333697433096,0.3285077951002227,0.5804962492787075,0.35765499789118516,0.6895388076490439,0.634750309533636
9,0.841134610970815,0.7549669058154108,0.6669258747681887,0.5634006178287796,0.6677777777777778,0.7108021877848678,0.0001,2.3412904739379883,0.7196162046908315,0.8344235253967351,0.6610831937465104,0.3855421686746988,0.5973878478137422,0.3778102189781022,0.6896162528216704,0.6558265582655827
10,0.819353158209059,0.7009964129077885,0.6699908550128206,0.5734085563699195,0.6702777777777778,0.7228805834092981,0.0001,2.3354368209838867,0.7240421987784564,0.84738730657098,0.6557734204793029,0.45116075339465617,0.6120591581342435,0.393217006635537,0.6880886426592798,0.6018691588785047
