split,macro_f1,micro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy,loss
val,0.9839850088183422,0.9837067209775967,0.9836875794373919,0.9837952645406766,0.9981134326239713,0.9837067209775967,0.08034515273501212
test,0.8804258474022818,0.883629191321499,0.8817432105319734,0.8778427604578934,0.9746264018032519,0.883629191321499,0.5472717636670822
