split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9960159362549801,1.0,0.9972677595628415,0.9980109289617486,125
val,AMI,Anterior,0.9938650306748467,1.0,0.9975609756097561,1.0,81
val,IMI,Inferior,0.993421052631579,1.0,0.9941176470588236,0.9998636540708999,151
val,Lateral-involved MI,Lateral,0.9848484848484849,0.9701492537313433,1.0,0.9941051047284586,134
test,NORM,Normal,0.9230769230769231,0.9361702127659575,0.9644808743169399,0.9937216602720614,141
test,AMI,Anterior,0.8170731707317073,0.6907216494845361,1.0,0.905758109127483,97
test,IMI,Inferior,0.9168900804289544,0.9293478260869565,0.9442724458204335,0.9830562659846548,184
test,Lateral-involved MI,Lateral,0.8900523560209425,1.0,0.9502369668246445,0.9666016169500976,85
