,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.48682907,0.488981,0.49001822,0.5091791,0.497986,0.5149917,0.49167392,0.51946944,0.4915142,0.4869812,0.5256059,0.51164037
AMI,0.48706028,0.48285106,0.503507,0.4901033,0.4951726,0.49303263,0.48098254,0.52099895,0.48397684,0.51289207,0.50164694,0.48934978
IMI,0.49075812,0.5187522,0.5029294,0.48509264,0.49778524,0.4845581,0.5048121,0.47603744,0.5067349,0.5046208,0.47896007,0.48753685
Lateral-involved MI,0.5155635,0.4945397,0.49267432,0.5159168,0.49930978,0.5020231,0.5144881,0.4917664,0.5090168,0.48749664,0.486452,0.48511058
