,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.49112245,0.48360875,0.54738164,0.46823066,0.47333416,0.54751235,0.48733395,0.51902574,0.4691348,0.50876635,0.53671217,0.52485645
AMI,0.46374822,0.4624343,0.49037015,0.49138027,0.48794568,0.47081685,0.49687108,0.4681903,0.49357504,0.47756866,0.5076328,0.5225167
IMI,0.5427472,0.5373647,0.4602435,0.48999932,0.48851547,0.4721651,0.4580093,0.48066798,0.5254065,0.48335508,0.48629984,0.49393544
Lateral-involved MI,0.48963436,0.48001567,0.4619594,0.5308838,0.5309447,0.46254313,0.5297414,0.51431996,0.5100908,0.51909864,0.45613086,0.46080527
