epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,learning_rate
1,1.2956510407866693,0.7079098537946359,0.5998923561559989,0.7214757294928653,0.0001
2,0.7536000522178375,0.8000031984769381,0.6733025819729531,0.6180782691161588,0.0001
3,0.5696629169891236,0.7234891500228491,0.7613573485678926,0.6801420208292499,0.0001
4,0.46043612659952804,0.7568076696151342,0.816047014271229,0.662186010071461,0.0001
5,0.38551526456416463,0.72850562670292,0.8508528169161567,0.7337381418263771,0.0001
6,0.3278330013525157,0.7040007741023333,0.8780308553349196,0.7518291487896605,0.0001
7,0.2841948329036957,0.7051062064293103,0.8940463084379521,0.7702339298557319,0.0001
8,0.23783777123330185,0.6938851536848606,0.9193866635470334,0.8059659217784259,0.0001
9,0.1997313523345486,0.6992234404270465,0.9318757218717154,0.7931935388958284,0.0001
10,0.16961866923028368,0.756852911068843,0.9422049479132186,0.7982943884323194,0.0001
11,0.1426310156580442,0.7331846402241633,0.9481252829998461,0.8113196466261717,0.0001
12,0.130704242196204,0.7429695862990159,0.9541563003685138,0.8003836283197584,0.0001
13,0.10684756171820374,0.754034175322606,0.9625640284685063,0.8098932038654961,0.0001
14,0.09777508471239499,0.8071822967284765,0.9638503428784131,0.8195762428451991,0.0001
15,0.08419775668324406,0.809193302423526,0.9712049178474061,0.8254950565273685,0.0001
16,0.06853886149203654,0.836812266936669,0.975073853362846,0.8150773027736784,0.0001
17,0.058658603431640415,0.8917795664224869,0.9779599946948151,0.8079542111977183,0.0001
18,0.060121908776946245,0.8789244645681137,0.9777960306819102,0.8167498484860465,0.0001
19,0.05236601249640089,0.8898879534158951,0.9785461736307457,0.8157866539663307,0.0001
20,0.043631924557499153,0.9338981341093014,0.9773762059249665,0.8180332283746219,0.0001
21,0.027588675586901198,0.941208527638362,0.9949236143793257,0.8243362455143457,5e-05
22,0.02234155707916418,0.9868435951379629,0.9960876512607271,0.8066066633433624,5e-05
23,0.020767750892075856,0.9879126732165997,0.9959413357923852,0.8205476853714182,5e-05
24,0.017660641226814752,0.9973678344335312,0.9964820325859554,0.8185141606224933,5e-05
25,0.01613048732593349,1.0014959206947913,0.9963198405651847,0.8106951398164596,5e-05
26,0.016536400397297285,1.0201766827167609,0.9970471428797716,0.8184745911195273,5e-05
27,0.01391728164026424,1.021915689492837,0.9980174851312265,0.8178559621710786,2.5e-05
28,0.012876027158333938,1.028234906685658,0.9980174851312265,0.8116291101190355,2.5e-05
29,0.011291302653167148,1.0264325478138068,0.9980186742126423,0.8145994966512619,2.5e-05
30,0.010228571339626633,1.023445425889431,0.9984233004767079,0.820977078570892,2.5e-05
31,0.009883881532079869,1.027903865545224,0.9984233004767079,0.8183700046341815,2.5e-05
32,0.011229298404836352,1.032257318496704,0.9980186742126423,0.8251837686169078,2.5e-05
33,0.010782341787817114,1.0622858023032165,0.9980174851312265,0.815881734879479,1.25e-05
34,0.010671438166001735,1.0400236600484603,0.9980186742126423,0.8213364538289236,1.25e-05
35,0.0093907521142441,1.038750743254637,0.9980186742126423,0.8277044435335292,1.25e-05
36,0.00886088921203025,1.041476695965498,0.9984233004767079,0.8183700046341815,1.25e-05
37,0.010071889057258242,1.0430847773185143,0.9980174851312265,0.8251837686169078,1.25e-05
38,0.008590835193901393,1.041814305843451,0.9984233004767079,0.820977078570892,1.25e-05
39,0.00869229115498291,1.0515079834522345,0.9984233004767079,0.8226681336642117,1.25e-05
40,0.00833613667750314,1.0473923591467051,0.9984233004767079,0.824841473979405,1.25e-05
41,0.00822648499095695,1.0527809399824877,0.9984233004767079,0.8251837686169078,6.25e-06
42,0.008054371980028056,1.0522733865640101,0.9984233004767079,0.8251837686169078,6.25e-06
43,0.007992010459333463,1.0500421126683552,0.9984233004767079,0.8277044435335292,6.25e-06
44,0.007956898522830179,1.0518893951024764,0.9984233004767079,0.8251837686169078,6.25e-06
45,0.00789036379362726,1.0520446117107685,0.9984233004767079,0.8251837686169078,6.25e-06
46,0.007807526934143921,1.0530932316413293,0.9989895078536012,0.8315139510195073,6.25e-06
47,0.007870170431034818,1.0742301788085546,0.9984233004767079,0.8259401654174205,6.25e-06
48,0.007753518960809195,1.0536241072874803,0.9984233004767079,0.8277044435335292,6.25e-06
49,0.007688481003645147,1.0571508896656525,0.9984233004767079,0.8289864103632615,6.25e-06
50,0.0076032510948053494,1.057143523142888,0.9989895078536012,0.8315139510195073,6.25e-06
