class,internal_label,expected_clinical_leads,top3_learned_mask_leads,top5_learned_mask_leads,overlap_at_3,overlap_at_5,mean_expected_mask_weight,mean_non_expected_mask_weight
NORM,Normal,"I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6","aVR,II,V6","aVR,II,V6,V5,aVF",1.0,1.0,0.4993463456630707,
AMI,Anterior,"V1,V2,V3,V4","III,V1,V3","III,V1,V3,V4,aVF",0.6666666666666666,0.75,0.5033843517303467,0.4951742887496948
IMI,Inferior,"II,III,aVF","aVL,I,V2","aVL,I,V2,V3,V6",0.0,0.0,0.4949565827846527,0.5024650692939758
Lateral-involved MI,Lateral,"I,aVL,V5,V6","III,V3,V1","III,V3,V1,V4,aVF",0.0,0.0,0.49330633878707886,0.5023114085197449
