class,internal_label,expected_clinical_leads,top3_learned_mask_leads,top5_learned_mask_leads,overlap_at_3,overlap_at_5,mean_expected_mask_weight,mean_non_expected_mask_weight
NORM,Normal,"I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6","V5,V6,aVF","V5,V6,aVF,aVR,V1",1.0,1.0,0.506260871887207,
AMI,Anterior,"V1,V2,V3,V4","V4,V1,V3","V4,V1,V3,II,aVR",1.0,0.75,0.49982750415802,0.4868112802505493
IMI,Inferior,"II,III,aVF","aVL,V2,V4","aVL,V2,V4,III,V3",0.0,0.3333333333333333,0.491723895072937,0.4963254928588867
Lateral-involved MI,Lateral,"I,aVL,V5,V6","III,aVF,V3","III,aVF,V3,V2,V1",0.0,0.0,0.4878692626953125,0.5015379190444946
