variant,strategy,fold,epoch,train_loss,val_loss,train_loss_cls,val_loss_cls,train_loss_sens,val_loss_sens,train_loss_cons,val_loss_cons,train_loss_sparse,val_loss_sparse,train_loss_div,val_loss_div,train_main_macro_f1,val_main_macro_f1,train_accuracy,val_accuracy,learning_rate,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
clicnet_counterfactual,partial_finetune,2,1,1.2099644134751029,1.0210807345351394,1.1420069899503094,0.9583798374448503,0.5009833026880637,0.43330213865455314,0.05719058162426839,0.08743080396433266,0.4999570411756779,0.49991315603256226,0.9999995985425048,0.9999985694885254,0.5175650044965173,0.5726364639902554,0.5517593064762876,0.6020408163265306,0.0001,0.6673267326732674,0.743421052631579,0.3326133909287257,0.6470588235294118,0.6200873362445415,0.6377708978328174,0.4502325581395349,0.26229508196721313
clicnet_counterfactual,partial_finetune,2,2,0.9951428127252344,0.9157376437771078,0.923174185420955,0.8484555533954076,0.5109407908146871,0.42591054682828944,0.11751489198402383,0.19385054531146068,0.49988154551011454,0.4998539388179779,0.9999964804688258,0.9999935030937195,0.6158244238645668,0.615620571139327,0.6297807241203468,0.6469387755102041,0.0001,0.776844070961718,0.7774086378737541,0.6317365269461078,0.6889952153110048,0.6631578947368421,0.6666666666666666,0.39155920281359907,0.32941176470588235
clicnet_counterfactual,partial_finetune,2,3,0.9187226586047634,0.8759897896221706,0.8410675967001052,0.8080619751190653,0.5465008400794744,0.4422534834365455,0.16013459023895585,0.1740883968314346,0.49983490160811256,0.4998149275779724,0.9999899801886976,0.9999855756759644,0.6396869050833073,0.6295714739892102,0.6562978072412035,0.6591836734693878,0.0001,0.8,0.7788778877887789,0.6602475928473177,0.7208121827411168,0.6926677067082684,0.6774193548387096,0.40583232077764275,0.3411764705882353
clicnet_counterfactual,partial_finetune,2,4,0.8769374180666832,0.8107764431408473,0.7977084037845442,0.7463080805175158,0.5422428529339138,0.381720587185451,0.20013888720527467,0.22597411664164796,0.49979873933942875,0.49978360533714294,0.9999807096147707,0.9999749660491943,0.6613005327305421,0.6580332891741116,0.6695563488016318,0.6775510204081633,0.0001,0.7988721804511278,0.8045112781954887,0.7073863636363636,0.736318407960199,0.6851424172440339,0.6845238095238095,0.45380116959064326,0.4067796610169492
clicnet_counterfactual,partial_finetune,2,5,0.8445633199067824,0.7957573391953293,0.763863170043599,0.7287518472087626,0.5359201810148405,0.3970050304519887,0.24221563460053624,0.2461583392352474,0.4997657342020314,0.49974489212036133,0.9999690314508834,0.999962568283081,0.6580859327682708,0.681561681797207,0.6721060683324834,0.7,0.0001,0.8197343453510436,0.8135593220338984,0.7233468286099866,0.7422680412371134,0.6912650602409639,0.7105263157894737,0.3979974968710889,0.45989304812834225
clicnet_counterfactual,partial_finetune,2,6,0.8059107958510602,0.746176418479608,0.7256645961782873,0.6794372534265324,0.5322965362253146,0.36463516865457807,0.24039469252794995,0.3055826911512686,0.49972367733489004,0.4997006058692932,0.9999565476060582,0.9999491572380066,0.6806390899994401,0.6986421888513248,0.688934217236104,0.7163265306122449,0.0001,0.8298676748582231,0.8428571428571429,0.7262411347517731,0.78,0.6993114001530222,0.7151898734177216,0.4671361502347418,0.45652173913043476
clicnet_counterfactual,partial_finetune,2,7,0.7800778635055177,0.6979053412164961,0.6959785754616196,0.6334200318978758,0.5432124339549411,0.33429100586443533,0.29563717234809445,0.32120818860676825,0.4996764575383421,0.49964582920074463,0.9999420414890093,0.9999340772628784,0.6966840313565136,0.7068968615729673,0.7037225905150434,0.7224489795918367,0.0001,0.8472998137802608,0.8458781362007168,0.7394957983193278,0.7918781725888325,0.7101910828025477,0.7192429022082019,0.489749430523918,0.47058823529411764
clicnet_counterfactual,partial_finetune,2,8,0.7562211564096609,0.6745642988049254,0.6699992324976457,0.6037520811265829,0.5370839918711428,0.35553453163224824,0.3503609425799084,0.40527216500165514,0.499620421071979,0.49959325790405273,0.999927281178363,0.9999196529388428,0.7024574627174909,0.7383339217676567,0.7083120856705762,0.746938775510204,0.0001,0.8390804597701149,0.8791208791208791,0.7507002801120448,0.8222222222222222,0.7148347425057648,0.7289156626506024,0.5052143684820394,0.5230769230769231
clicnet_counterfactual,partial_finetune,2,9,0.7618134510511041,0.6445358704547492,0.6698984674262125,0.5740579288832995,0.5822967818535937,0.34058852536337714,0.37381087121217,0.42849404994322327,0.4995645012161307,0.49953314661979675,0.9999121730270464,0.9999041557312012,0.7160636441628545,0.7419279336181241,0.719020907700153,0.753061224489796,0.0001,0.8463768115942029,0.8905109489051095,0.749271137026239,0.819672131147541,0.7223511214230471,0.7393939393939394,0.5462555066079295,0.5181347150259067
clicnet_counterfactual,partial_finetune,2,10,0.725306778006381,0.6169644835043927,0.6344960318542998,0.5481399699133269,0.5580891078677122,0.3170494196366291,0.40015752089990153,0.44252132590936155,0.4994991068205379,0.49946340918540955,0.999896288222041,0.9998876452445984,0.7334594204976085,0.7643642263414563,0.7363590005099439,0.7673469387755102,0.0001,0.8525214081826832,0.8630705394190872,0.7722772277227723,0.8387096774193549,0.7363420427553444,0.7627118644067796,0.5726970033296337,0.592964824120603
