split,macro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy
val,1.0,1.0,1.0,1.0,1.0
test,0.8740274573787667,0.8834145631688712,0.8832293623697035,0.9664373305135072,0.883629191321499
