split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,1.0,1.0,1.0,1.0,124
val,AMI,Anterior,1.0,1.0,1.0,1.0,80
val,IMI,Inferior,1.0,1.0,1.0,1.0,152
val,Lateral-involved MI,Lateral,1.0,1.0,1.0,1.0,134
test,NORM,Normal,0.9556313993174061,0.9929078014184397,0.9672131147540983,0.9845366817811882,141
test,AMI,Anterior,0.8170731707317073,0.6907216494845361,1.0,0.9467186321347749,97
test,IMI,Inferior,0.9318801089918256,0.9293478260869565,0.9628482972136223,0.9585913312693498,184
test,Lateral-involved MI,Lateral,0.8736842105263158,0.9764705882352941,0.9478672985781991,0.9673543350989685,85
