,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.083356865,0.08337033,0.08332306,0.08332492,0.083321154,0.08325832,0.08326565,0.08327253,0.08330006,0.08337748,0.08341365,0.08340968
AMI,0.007330112,0.0073343683,0.0073274653,0.007333643,0.0073320214,0.0073182005,0.23533852,0.23532522,0.23538348,0.2353149,0.0073305108,0.0073281974
IMI,0.0060404995,0.006034856,0.31545812,0.3150285,0.315198,0.0060468256,0.006029083,0.006027089,0.0060303365,0.006036115,0.0060388404,0.0060398933
Lateral-involved MI,0.14671718,0.14668046,0.061572894,0.06156656,0.061563864,1.0040193e-07,0.06166331,0.061654467,0.061616085,0.043590497,0.14669758,0.14668931
