split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.8503937007874016,0.8709677419354839,0.9398907103825137,0.9598096245372818,124
val,AMI,Anterior,0.6705202312138728,0.7160493827160493,0.9168704156479217,0.932445893326089,81
val,IMI,Inferior,0.7303370786516854,0.8552631578947368,0.7810650887573964,0.8802943008408595,152
val,Lateral-involved MI,Lateral,0.467005076142132,0.3458646616541353,0.9495798319327731,0.8203913144205051,133
test,NORM,Normal,0.8050314465408805,0.9078014184397163,0.8661202185792349,0.9610801069643065,141
test,AMI,Anterior,0.5522388059701493,0.38144329896907214,1.0,0.9844355041488559,97
test,IMI,Inferior,0.6859903381642513,0.7717391304347826,0.7275541795665634,0.8755720823798627,184
test,Lateral-involved MI,Lateral,0.0,0.0,0.8507109004739336,0.46395316420407023,85
