split,macro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy
val,0.9964786992191361,0.9959183673469387,0.9964786992191361,0.9993877565744518,0.9959183673469387
test,0.8818876408169507,0.8787880525539383,0.8755674032346947,0.9806720186562261,0.8796844181459567
