split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9408509166378416,0.947075208913649,0.7863110539845758,0.9465811200779084,10052
val,AMI,Anterior,0.5387894288150042,0.45664739884393063,0.9867703656189866,0.9056367187355165,692
val,IMI,Inferior,0.5915852103697408,0.5918367346938775,0.9598765432098766,0.9199654586559348,1176
val,Lateral-involved MI,Lateral,0.7727095516569201,0.7966237942122186,0.9723154362416108,0.9666384214700359,1244
test,NORM,Normal,0.9349886796208295,0.9428944199116821,0.769170579029734,0.93770918420555,19928
test,AMI,Anterior,0.5742237345810294,0.4877167630057804,0.9882890831795941,0.9173093266802393,1384
test,IMI,Inferior,0.5977760736196319,0.6211155378486056,0.9518229166666666,0.9087812727584287,2510
test,Lateral-involved MI,Lateral,0.7551271534044298,0.7375801282051282,0.9773738560994039,0.9626695971887654,2496
