,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.0835167,0.08337619,0.083511405,0.08320818,0.08336034,0.08306433,0.08299894,0.08314816,0.083316594,0.08346303,0.08351779,0.0835183
AMI,0.0073488713,0.007340891,0.007353768,0.007345034,0.0073509184,0.00733805,0.23535119,0.23522206,0.23523359,0.235417,0.0073475954,0.0073510176
IMI,0.006038315,0.0060308683,0.31564462,0.3147185,0.31525537,0.0060467185,0.006038464,0.006039394,0.0060419845,0.0060488596,0.0060506775,0.0060459455
Lateral-involved MI,0.1467288,0.14689274,0.06150408,0.061660588,0.06158579,1.00141136e-07,0.06163589,0.061635315,0.061595548,0.043557674,0.14657325,0.14663015
