variant,strategy,fold,status,error,test_accuracy,test_macro_f1,test_micro_f1,test_weighted_f1,test_balanced_accuracy,test_macro_auc,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_Lateral_involved_MI,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio
clicnet_counterfactual,partial_finetune,1,OK,,0.6489151873767258,0.5710589036431732,0.6489151873767258,0.62553035171877,0.5710205327255214,0.8924367226073427,0.8539325842696629,0.7636363636363637,0.6666666666666666,0.0,1.0663025592558482,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_1,299316,362100,0.8266114333057166
clicnet_counterfactual,partial_finetune,2,OK,,0.6469428007889546,0.5635272341885608,0.6469428007889546,0.6158120653612087,0.5734398991006799,0.8836665642000778,0.8514851485148515,0.7577639751552795,0.6448598130841121,0.0,1.2293213568848265,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_2,299316,362100,0.8266114333057166
clicnet_counterfactual,partial_finetune,3,OK,,0.6568047337278107,0.5678486036982092,0.6568047337278107,0.6213468849024104,0.5777472534022526,0.8713008405361142,0.831081081081081,0.7721518987341772,0.6681614349775785,0.0,1.2753375737507198,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_3,299316,362100,0.8266114333057166
clicnet_counterfactual,partial_finetune,4,OK,,0.6568047337278107,0.5715293845875541,0.6568047337278107,0.6290578179984145,0.5752855674871491,0.9000485202034411,0.8759124087591241,0.7361963190184049,0.6740088105726872,0.0,1.0811483823571215,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_4,299316,362100,0.8266114333057166
clicnet_counterfactual,partial_finetune,5,OK,,0.6706114398422091,0.5830917163907331,0.6706114398422091,0.6388773547067392,0.5921814947976769,0.8896008557922342,0.8835616438356164,0.7730061349693251,0.6757990867579908,0.0,1.1590928552301207,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/partial_finetune/fold_5,299316,362100,0.8266114333057166
clicnet_counterfactual,full_finetune,1,OK,,0.9151873767258384,0.9072568970880664,0.9151873767258384,0.9134322011233575,0.908624364610851,0.9714859201292554,0.940766550522648,0.8470588235294118,0.9272237196765498,0.913978494623656,0.6082192690532353,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_1,362100,362100,1.0
clicnet_counterfactual,full_finetune,2,OK,,0.9112426035502958,0.9023402290552878,0.9112426035502958,0.9094926421758374,0.9003552609090214,0.969095345486372,0.9477351916376306,0.8452380952380952,0.9202127659574468,0.8961748633879781,0.6384168062101925,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_2,362100,362100,1.0
clicnet_counterfactual,full_finetune,3,OK,,0.9092702169625246,0.8945672223918136,0.9092702169625246,0.906763753084739,0.8973619663063066,0.9643002450710704,0.955631399317406,0.8170731707317073,0.9318801089918256,0.8736842105263158,0.6754266897131941,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_3,362100,362100,1.0
clicnet_counterfactual,full_finetune,4,OK,,0.90138067061144,0.8887668445627743,0.90138067061144,0.8985359692089308,0.8913873974396878,0.9775110578040692,0.9403508771929824,0.8048780487804879,0.9197860962566844,0.8900523560209425,0.6799482699094205,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_4,362100,362100,1.0
clicnet_counterfactual,full_finetune,5,OK,,0.9250493096646942,0.914989183744906,0.9250493096646942,0.9232129881836864,0.9174896128378014,0.9662219251944686,0.958904109589041,0.8520710059171598,0.9398907103825136,0.9090909090909092,0.5949262752100326,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_finetune_clicnet/20260615_031345/transfer_strategies/full_finetune/fold_5,362100,362100,1.0
