split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,1.0,1.0,1.0,1.0,124
val,AMI,Anterior,1.0,1.0,1.0,1.0,80
val,IMI,Inferior,0.9967213114754099,1.0,0.9970414201183432,1.0,152
val,Lateral-involved MI,Lateral,0.9962546816479401,0.9925373134328358,1.0,0.9999790373972833,134
test,NORM,Normal,0.8708487084870848,0.8368794326241135,0.9672131147540983,0.98816029143898,141
test,AMI,Anterior,0.8654970760233918,0.7628865979381443,1.0,0.9439778727684184,97
test,IMI,Inferior,0.8865979381443299,0.9347826086956522,0.9009287925696594,0.9855465069322924,184
test,Lateral-involved MI,Lateral,0.9239130434782609,1.0,0.966824644549763,0.9773348201839978,85
