,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08335963,0.0833449,0.083361916,0.08331146,0.08332878,0.083278514,0.08325931,0.08324029,0.08325758,0.08334482,0.08345408,0.08345882
AMI,0.007335472,0.007339696,0.0073260046,0.007334857,0.0073289885,0.0073216744,0.23530938,0.23532575,0.23541753,0.23530576,0.007327649,0.0073271594
IMI,0.006037459,0.006032658,0.31539914,0.31503403,0.31525335,0.0060455436,0.0060289414,0.0060268757,0.0060296217,0.006035113,0.0060386043,0.0060388
Lateral-involved MI,0.14668918,0.14668684,0.061576832,0.06158337,0.061588448,1.0037905e-07,0.06167273,0.061664198,0.06163484,0.043600824,0.14666751,0.14663506
