split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9152542372881356,0.864,0.9918032786885246,0.994120218579235,125
val,AMI,Anterior,0.8314606741573034,0.9135802469135802,0.9439024390243902,0.980006022282445,81
val,IMI,Inferior,0.8160919540229885,0.9403973509933775,0.8382352941176471,0.9470393455395403,151
val,Lateral-involved MI,Lateral,0.7,0.5746268656716418,0.9747899159663865,0.9503114678707304,134
test,NORM,Normal,0.8296296296296296,0.7943262411347518,0.953551912568306,0.9771150641398286,141
test,AMI,Anterior,0.8352941176470589,0.7319587628865979,0.9951219512195122,0.9926326376665828,97
test,IMI,Inferior,0.7981220657276995,0.9239130434782609,0.7770897832817337,0.9430441512989636,184
test,Lateral-involved MI,Lateral,0.6216216216216216,0.5411764705882353,0.9597156398104265,0.9511848341232227,85
