split,macro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy
val,0.9982369316424373,0.9979586786771621,0.9981203007518797,0.9999947347359996,0.9979591836734694
test,0.8887668445627743,0.8985359692089308,0.8913873974396878,0.9775110578040691,0.9013806706114399
