split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.7955390334572491,0.8629032258064516,0.8961748633879781,0.9448484047241319,124
val,AMI,Anterior,0.7159090909090909,0.7875,0.9195121951219513,0.9377743902439025,80
val,IMI,Inferior,0.6685878962536023,0.7631578947368421,0.7662721893491125,0.8436818748053567,152
val,Lateral-involved MI,Lateral,0.4148936170212766,0.291044776119403,0.9578651685393258,0.7914011403655878,134
test,NORM,Normal,0.6614583333333334,0.900709219858156,0.6830601092896175,0.9347362709762432,141
test,AMI,Anterior,0.6620689655172414,0.4948453608247423,1.0,0.9834800100578326,97
test,IMI,Inferior,0.7855153203342619,0.7663043478260869,0.8947368421052632,0.871718939291964,184
test,Lateral-involved MI,Lateral,0.0,0.0,0.9028436018957346,0.3797602453303596,85
