split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9959514170040485,0.9919354838709677,1.0,0.9999779658029261,124
val,AMI,Anterior,0.9938650306748467,1.0,0.9975550122249389,1.0,81
val,IMI,Inferior,0.9838187702265372,1.0,0.985207100591716,0.9999805356586733,152
val,Lateral-involved MI,Lateral,0.9808429118773946,0.9624060150375939,1.0,0.999936816831996,133
test,NORM,Normal,0.9018181818181819,0.8794326241134752,0.9726775956284153,0.9731620354222378,141
test,AMI,Anterior,0.7928994082840237,0.6907216494845361,0.9878048780487805,0.9754840331908474,97
test,IMI,Inferior,0.8825065274151436,0.9184782608695652,0.9071207430340558,0.954401669134473,184
test,Lateral-involved MI,Lateral,0.9090909090909091,1.0,0.9597156398104265,0.993894619459158,85
