epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,learning_rate
1,1.3949918185733867,0.7620946455460328,0.5856694558127302,0.749276986182277,0.0001
2,0.8143332372931132,0.6535903650980729,0.6604126863758688,0.7334501755856339,0.0001
3,0.6587609770477459,0.5229817953629371,0.7222302001435983,0.7236522634699214,0.0001
4,0.5418456401179582,0.4747657019358415,0.7862414887952637,0.764744735374379,0.0001
5,0.4541971210064649,0.43439654814891326,0.8318109045131592,0.8083108375623334,0.0001
6,0.38958406686615643,0.41592592688707203,0.8682068495105946,0.8207759264726066,0.0001
7,0.33814019813276774,0.4152978933774508,0.888041404776496,0.8302151136313796,0.0001
8,0.2938916643209801,0.42933583106750095,0.9075273812902933,0.8303613069941935,0.0001
9,0.2496623455321694,0.43408319506889737,0.9239132810492922,0.8081402831402832,0.0001
10,0.21088373150403056,0.4001320317769662,0.9416835027500818,0.8294338445588519,0.0001
11,0.1768623373256548,0.5159667562215756,0.9523727753246911,0.8219845680251727,0.0001
12,0.1571370944025473,0.4613920006996546,0.9554573948027836,0.8340785190872163,0.0001
13,0.1340780309172867,0.5544856771444663,0.9653972420018431,0.8282327586206897,0.0001
14,0.11924279972304803,0.5647455530288892,0.968086251188,0.8257304131065847,0.0001
15,0.0990550357390364,0.5515423035010313,0.977517540349472,0.8307809558319613,0.0001
16,0.08536336576028815,0.5946643780439328,0.9796338723088557,0.8360020348677336,0.0001
17,0.0716438148102787,0.6698386317644364,0.9818352554083645,0.8304386003811485,0.0001
18,0.0620231429518119,0.7640782243166214,0.985941866160109,0.8161015206925762,0.0001
19,0.05485129519746704,0.6747386914033157,0.9871446727926926,0.8348458904109589,0.0001
20,0.05412959454075206,0.6903716371609614,0.986882823015189,0.8341800625091481,0.0001
21,0.043425823463882005,0.7780330013006161,0.990284597205858,0.831070284205351,0.0001
22,0.0372690556239112,0.8387216543539976,0.9926873824165321,0.8184651444825863,5e-05
23,0.032268532905914846,0.8723447108880068,0.9927774886453233,0.8180814837136313,5e-05
24,0.029343261781865717,0.8173017043333787,0.9929499984283192,0.8277952162714588,5e-05
25,0.027387168408206493,0.7846346971316215,0.994047375313859,0.8310533277638541,5e-05
26,0.02788145435419301,0.833938506933359,0.9948873902620587,0.8188006700592513,5e-05
27,0.02783828791859636,0.9272553156583737,0.9930762854827492,0.8148875992481682,5e-05
28,0.02293782981588057,0.9357513739512517,0.9949773231822616,0.8269224881470985,2.5e-05
29,0.021463936430764788,0.8951410207992945,0.994872840542427,0.816561169204599,2.5e-05
30,0.021134060224306576,0.8845063631351178,0.9943085474985063,0.8192751056425553,2.5e-05
31,0.018588696909060873,0.9474204259041028,0.9966680762829523,0.8049665526957153,2.5e-05
32,0.01789054710308265,0.953225817435827,0.9966691453461687,0.8137400355818556,2.5e-05
33,0.017521454689892767,0.9327024955015916,0.9956838976485778,0.8111125620046596,2.5e-05
34,0.017446318973080473,0.9989302433454074,0.9951184282207431,0.8112636033313546,1.25e-05
35,0.01587923568908113,1.0019566432023659,0.9966812481847452,0.8088743333651112,1.25e-05
36,0.015802780168880756,0.9763792539254214,0.9966680762829523,0.8112636033313546,1.25e-05
37,0.015511467514490833,0.9818496153904841,0.9976381840400654,0.8112636033313546,1.25e-05
38,0.015238990626015315,0.9825866955977219,0.9970590987469894,0.8080074941338447,1.25e-05
39,0.014812547255476372,0.9781404611391898,0.9970590987469894,0.8078065350107572,1.25e-05
40,0.014125978091297137,1.0470064664498353,0.9980577117127115,0.8114645624544422,6.25e-06
41,0.014088773477322701,0.9999892833905343,0.9974790499754373,0.8064884788913954,6.25e-06
42,0.013748169406837478,1.0075418398930476,0.9974790499754373,0.8114645624544422,6.25e-06
43,0.01350604022285749,1.008128753075233,0.9974790499754373,0.8080074941338447,6.25e-06
44,0.013507454713972833,1.014989321048443,0.9974790499754373,0.8080074941338447,6.25e-06
45,0.013531302421603242,1.0252675521068084,0.9970590987469894,0.8080074941338447,6.25e-06
46,0.013042828449983779,1.025959042402414,0.9970590987469894,0.8080074941338447,3.125e-06
47,0.013038127795871924,1.0240554289940076,0.9974790499754373,0.8080074941338447,3.125e-06
48,0.012803998791890035,1.038522203763326,0.9980577117127115,0.8080074941338447,3.125e-06
49,0.012842513487620742,1.0282285060638037,0.9980437950458194,0.8080074941338447,3.125e-06
50,0.012763922560355717,1.0502483386259813,0.9984636109874728,0.8080074941338447,3.125e-06
