split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9379310344827586,0.8831168831168831,1.0,0.9934788615639679,77
val,AMI,Anterior,0.8070175438596491,0.9787234042553191,0.9207547169811321,0.9756724207145725,47
val,IMI,Inferior,0.8818181818181818,0.9603960396039604,0.8957345971563981,0.9878466519637745,101
val,Lateral-involved MI,Lateral,0.7172413793103448,0.5977011494252874,0.9733333333333334,0.9064623243933588,87
test,NORM,Normal,0.9259259259259259,0.8865248226950354,0.9890710382513661,0.9941479672906252,141
test,AMI,Anterior,0.8491620111731844,0.7835051546391752,0.9853658536585366,0.9836811667085743,97
test,IMI,Inferior,0.7467811158798283,0.9456521739130435,0.6656346749226006,0.9257638982366402,184
test,Lateral-involved MI,Lateral,0.0,0.0,0.966824644549763,0.8542514636186228,85
